date,và sân golf Tam Đảo,Chùa Hà Tiên,Thành phố Vũng Tàu,Bãi Dứa,Công viên Hồ Tây
2011-03-01,0,0,6,0,0
2011-04-01,0,0,8,0,5
2011-05-01,0,0,6,0,10
2011-06-01,0,0,7,0,11
2011-07-01,0,0,7,0,10
2011-08-01,0,0,7,0,9
2011-09-01,0,0,7,0,6
2011-10-01,0,0,7,0,5
2011-11-01,0,0,5,0,3
2011-12-01,0,0,4,0,4
2012-01-01,0,0,6,0,3
2012-02-01,0,0,5,0,2
2012-03-01,0,0,4,0,2
2012-04-01,0,0,6,0,11
2012-05-01,0,0,4,0,13
2012-06-01,0,0,5,0,15
2012-07-01,0,0,6,0,11
2012-08-01,0,0,6,0,8
2012-09-01,0,0,5,0,5
2012-10-01,0,0,5,0,3
2012-11-01,0,0,4,0,2
2012-12-01,0,0,5,0,1
2013-01-01,0,0,5,0,2
2013-02-01,0,1,4,0,0
2013-03-01,0,1,5,0,2
2013-04-01,0,1,7,0,16
2013-05-01,0,0,5,0,20
2013-06-01,0,1,7,1,20
2013-07-01,0,1,7,0,15
2013-08-01,0,1,7,0,8
2013-09-01,0,0,6,0,4
2013-10-01,0,0,7,0,2
2013-11-01,0,1,8,0,2
2013-12-01,0,1,7,0,1
2014-01-01,0,1,5,0,1
2014-02-01,0,2,8,0,2
2014-03-01,0,1,8,0,2
2014-04-01,0,1,7,0,9
2014-05-01,0,0,7,0,21
2014-06-01,0,1,7,0,21
2014-07-01,0,1,7,0,16
2014-08-01,0,1,8,0,11
2014-09-01,0,0,6,0,6
2014-10-01,1,1,6,0,9
2014-11-01,0,1,6,0,3
2014-12-01,0,1,7,0,20
2015-01-01,0,1,7,0,2
2015-02-01,0,1,7,0,4
2015-03-01,0,1,8,0,4
2015-04-01,0,1,11,0,93
2015-05-01,0,1,7,0,21
2015-06-01,0,1,9,0,21
2015-07-01,0,1,10,0,15
2015-08-01,0,1,9,0,7
2015-09-01,0,1,8,0,5
2015-10-01,0,1,8,0,4
2015-11-01,0,1,8,0,3
2015-12-01,0,1,10,0,4
2016-01-01,0,1,6,0,2
2016-02-01,0,2,9,0,3
2016-03-01,0,1,9,0,3
2016-04-01,0,2,10,0,10
2016-05-01,0,1,10,0,16
2016-06-01,0,1,10,0,19
2016-07-01,0,1,11,0,15
2016-08-01,0,1,11,0,7
2016-09-01,0,1,10,0,7
2016-10-01,0,0,10,0,6
2016-11-01,0,1,9,0,2
2016-12-01,0,1,10,0,4
2017-01-01,0,1,9,0,3
2017-02-01,0,2,12,0,4
2017-03-01,0,1,12,0,3
2017-04-01,0,1,13,0,11
2017-05-01,0,2,12,0,13
2017-06-01,0,1,12,0,19
2017-07-01,0,1,14,0,14
2017-08-01,0,1,11,0,9
2017-09-01,0,1,13,0,7
2017-10-01,0,1,13,0,4
2017-11-01,0,1,12,0,2
2017-12-01,0,1,16,0,3
2018-01-01,0,1,14,0,2
2018-02-01,0,2,14,0,3
2018-03-01,0,2,16,0,5
2018-04-01,0,2,17,0,11
2018-05-01,0,1,17,1,19
2018-06-01,0,1,15,0,23
2018-07-01,0,1,18,0,13
2018-08-01,0,1,18,0,8
2018-09-01,0,1,17,0,19
2018-10-01,0,1,17,0,5
2018-11-01,0,1,17,0,2
2018-12-01,0,1,15,0,3
2019-01-01,0,1,15,0,2
2019-02-01,0,4,18,0,3
2019-03-01,0,2,19,0,4
2019-04-01,0,2,20,1,22
2019-05-01,0,1,20,0,16
2019-06-01,0,2,19,1,27
2019-07-01,0,2,22,0,18
2019-08-01,0,1,19,0,8
2019-09-01,0,1,19,0,5
2019-10-01,0,1,19,0,4
2019-11-01,0,1,18,0,2
2019-12-01,0,1,18,0,3
2020-01-01,0,2,18,0,2
2020-02-01,0,2,19,0,2
2020-03-01,0,1,22,0,2
2020-04-01,0,1,14,0,2
2020-05-01,0,1,23,0,10
2020-06-01,0,1,25,0,14
2020-07-01,0,1,26,1,22
2020-08-01,0,1,22,0,3
2020-09-01,0,1,24,0,4
2020-10-01,0,1,22,0,3
2020-11-01,0,1,23,0,3
2020-12-01,0,1,24,0,3
2021-01-01,0,1,23,0,2
2021-02-01,0,1,21,0,1
2021-03-01,0,2,26,0,2
2021-04-01,0,2,28,0,8
2021-05-01,0,1,23,0,3
2021-06-01,0,1,20,0,3
2021-07-01,0,0,19,0,2
2021-08-01,0,0,16,0,1
2021-09-01,0,1,18,0,2
2021-10-01,0,1,17,0,2
2021-11-01,0,1,20,0,2
2021-12-01,0,2,20,0,2
2022-01-01,0,2,30,0,2
2022-02-01,0,3,36,1,1
2022-03-01,0,2,38,0,4
2022-04-01,0,3,39,0,13
2022-05-01,0,2,39,0,15
2022-06-01,0,2,40,1,39
2022-07-01,0,2,42,1,26
2022-08-01,0,2,39,0,12
2022-09-01,0,1,33,0,9
2022-10-01,0,1,34,0,4
2022-11-01,0,1,28,0,3
2022-12-01,0,2,24,0,3
2023-01-01,0,2,26,0,2
2023-02-01,0,3,28,0,2
2023-03-01,0,2,29,0,4
2023-04-01,0,3,29,0,10
2023-05-01,0,2,29,0,24
2023-06-01,0,2,31,0,34
2023-07-01,0,2,29,0,24
2023-08-01,0,1,25,0,11
2023-09-01,0,1,22,0,9
2023-10-01,0,2,23,0,5
2023-11-01,0,1,22,0,3
2023-12-01,0,2,24,0,2
2024-01-01,0,1,23,0,2
2024-02-01,0,4,24,0,2
2024-03-01,0,3,27,0,4
2024-04-01,0,2,31,1,18
2024-05-01,0,2,26,0,14
2024-06-01,0,1,28,1,23
2024-07-01,0,1,31,0,17
2024-08-01,0,2,28,0,12
2024-09-01,0,1,26,0,7
2024-10-01,0,2,27,0,5
2024-11-01,0,3,28,0,3
2024-12-01,0,2,30,1,5
2025-01-01,0,2,30,0,2
2025-02-01,0,3,28,0,2
2025-03-01,0,2,36,0,4
2025-04-01,0,1,33,1,8
2025-05-01,0,1,29,0,11
2025-06-01,0,2,32,0,18
2025-07-01,0,2,45,0,16
2025-08-01,0,2,38,1,9
2025-09-01,0,2,32,0,5
2025-10-01,0,2,30,0,4
2025-11-01,0,3,30,0,4
