date,Nhà hát lớn Hà Nội,Bảo tàng Dân tộc học Việt Nam,Chùa Một Cột,Chùa Trăm Gian,Hồ Trúc Bạch
2011-02-01,0,0,11,5,0
2011-03-01,5,0,8,0,0
2011-04-01,3,0,5,0,0
2011-05-01,3,0,3,0,0
2011-06-01,4,0,4,0,2
2011-07-01,2,0,2,0,0
2011-08-01,3,2,3,0,2
2011-09-01,5,2,4,0,3
2011-10-01,4,0,7,0,2
2011-11-01,3,0,5,0,0
2011-12-01,6,0,3,0,2
2012-01-01,3,0,4,0,0
2012-02-01,3,0,7,4,2
2012-03-01,5,0,6,0,0
2012-04-01,2,0,5,0,0
2012-05-01,3,2,4,0,0
2012-06-01,3,0,3,0,2
2012-07-01,2,0,2,0,0
2012-08-01,2,0,3,12,0
2012-09-01,4,0,5,12,0
2012-10-01,5,2,9,2,2
2012-11-01,4,0,8,3,2
2012-12-01,5,1,5,1,1
2013-01-01,3,1,10,1,0
2013-02-01,3,0,9,4,1
2013-03-01,4,1,7,1,1
2013-04-01,4,2,7,2,2
2013-05-01,3,2,11,0,1
2013-06-01,3,2,5,0,2
2013-07-01,3,1,4,0,1
2013-08-01,4,2,6,1,2
2013-09-01,7,3,6,0,2
2013-10-01,5,2,8,0,2
2013-11-01,4,2,8,0,2
2013-12-01,8,2,6,1,0
2014-01-01,4,0,7,1,1
2014-02-01,3,2,13,5,2
2014-03-01,4,1,8,1,1
2014-04-01,4,1,6,1,1
2014-05-01,4,1,5,1,2
2014-06-01,2,0,3,0,2
2014-07-01,2,0,2,0,2
2014-08-01,4,1,4,0,2
2014-09-01,5,1,8,0,3
2014-10-01,5,1,13,0,2
2014-11-01,3,2,11,1,2
2014-12-01,5,1,8,0,2
2015-01-01,3,2,13,0,1
2015-02-01,4,0,13,4,2
2015-03-01,4,0,13,3,2
2015-04-01,3,2,11,1,1
2015-05-01,4,1,8,1,3
2015-06-01,3,0,5,0,1
2015-07-01,6,1,4,0,2
2015-08-01,3,1,5,0,1
2015-09-01,4,1,9,1,2
2015-10-01,5,1,9,1,3
2015-11-01,3,2,16,0,2
2015-12-01,3,1,9,1,1
2016-01-01,2,0,12,1,1
2016-02-01,2,0,13,3,0
2016-03-01,3,1,10,2,1
2016-04-01,3,1,12,0,2
2016-05-01,2,1,7,0,2
2016-06-01,3,1,4,0,1
2016-07-01,2,0,5,1,1
2016-08-01,3,1,6,1,1
2016-09-01,3,1,9,1,1
2016-10-01,4,0,10,0,1
2016-11-01,3,1,11,0,1
2016-12-01,5,0,11,1,1
2017-01-01,3,1,11,1,2
2017-02-01,3,1,19,4,2
2017-03-01,4,1,10,1,2
2017-04-01,4,1,11,1,2
2017-05-01,3,1,7,1,1
2017-06-01,3,0,4,1,2
2017-07-01,3,1,5,0,1
2017-08-01,5,1,6,0,1
2017-09-01,4,1,8,1,2
2017-10-01,5,1,11,0,2
2017-11-01,5,1,14,0,1
2017-12-01,5,1,11,0,1
2018-01-01,4,1,15,1,1
2018-02-01,3,1,13,4,2
2018-03-01,4,1,10,3,2
2018-04-01,4,1,11,1,1
2018-05-01,3,0,9,0,2
2018-06-01,3,0,6,0,1
2018-07-01,2,1,5,0,2
2018-08-01,3,1,6,1,2
2018-09-01,3,1,9,0,3
2018-10-01,4,1,13,0,2
2018-11-01,4,1,14,0,1
2018-12-01,4,0,11,0,2
2019-01-01,4,0,12,1,2
2019-02-01,3,1,15,3,1
2019-03-01,4,1,11,2,2
2019-04-01,3,0,12,1,1
2019-05-01,3,2,8,1,2
2019-06-01,3,2,5,1,1
2019-07-01,2,1,4,1,2
2019-08-01,3,1,5,0,1
2019-09-01,4,2,7,0,1
2019-10-01,4,1,12,1,2
2019-11-01,4,1,12,1,1
2019-12-01,4,1,11,0,1
2020-01-01,3,0,8,2,1
2020-02-01,3,0,7,2,1
2020-03-01,2,0,6,0,6
2020-04-01,2,1,15,1,2
2020-05-01,4,1,15,0,2
2020-06-01,3,1,11,1,2
2020-07-01,3,1,6,1,1
2020-08-01,1,0,4,0,1
2020-09-01,8,1,6,1,2
2020-10-01,7,1,10,0,2
2020-11-01,4,1,14,1,2
2020-12-01,6,1,13,1,2
2021-01-01,3,1,11,0,1
2021-02-01,2,0,10,2,1
2021-03-01,3,0,15,1,1
2021-04-01,3,2,15,1,2
2021-05-01,2,0,8,1,1
2021-06-01,1,0,4,0,1
2021-07-01,1,0,5,1,1
2021-08-01,1,0,5,0,2
2021-09-01,2,0,7,0,1
2021-10-01,3,1,9,1,1
2021-11-01,3,0,17,1,2
2021-12-01,3,1,21,1,2
2022-01-01,3,0,22,0,2
2022-02-01,3,1,19,1,2
2022-03-01,4,1,25,1,3
2022-04-01,5,2,16,1,4
2022-05-01,5,3,13,1,2
2022-06-01,4,1,9,1,3
2022-07-01,4,1,7,1,4
2022-08-01,4,2,10,1,3
2022-09-01,6,2,11,1,3
2022-10-01,6,1,20,1,3
2022-11-01,5,2,22,1,3
2022-12-01,5,1,16,1,2
2023-01-01,3,1,12,3,3
2023-02-01,5,2,21,3,2
2023-03-01,5,2,24,1,3
2023-04-01,6,2,26,1,3
2023-05-01,5,2,16,1,2
2023-06-01,4,2,14,1,3
2023-07-01,5,1,7,1,3
2023-08-01,6,2,8,1,3
2023-09-01,5,3,16,1,7
2023-10-01,5,4,27,2,3
2023-11-01,6,3,27,1,2
2023-12-01,6,2,19,1,2
2024-01-01,4,2,19,1,2
2024-02-01,3,2,16,5,3
2024-03-01,6,2,25,2,3
2024-04-01,4,3,20,1,3
2024-05-01,7,2,14,1,2
2024-06-01,4,1,8,1,4
2024-07-01,4,1,7,1,3
2024-08-01,3,1,7,1,3
2024-09-01,5,3,14,1,2
2024-10-01,9,22,33,1,3
2024-11-01,8,4,29,1,3
2024-12-01,5,3,26,1,3
2025-01-01,4,4,16,2,2
2025-02-01,3,3,21,4,2
2025-03-01,4,3,22,2,2
2025-04-01,4,3,19,1,2
2025-05-01,4,2,14,0,2
2025-06-01,3,2,8,0,3
2025-07-01,4,2,9,0,2
2025-08-01,9,2,15,1,4
2025-09-01,6,7,18,1,4
2025-10-01,5,24,34,2,3
2025-11-01,6,5,30,1,4
