date,Làng Dương Nỗ,Làng cổ Phước Tích,Chùa Thiên Mụ,Cửu vị thần công,Lăng Minh Mạng
2011-03-01,0,0,14,0,0
2011-04-01,0,0,27,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,11,0,0
2011-07-01,0,0,14,0,0
2011-08-01,0,0,10,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,17,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,13,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,23,0,11
2012-03-01,0,0,11,0,0
2012-04-01,0,0,16,0,0
2012-05-01,0,0,9,0,0
2012-06-01,0,0,9,0,7
2012-07-01,0,0,10,0,0
2012-08-01,0,0,14,0,8
2012-09-01,0,0,14,0,0
2012-10-01,0,0,13,0,0
2012-11-01,0,0,10,0,0
2012-12-01,0,7,9,0,0
2013-01-01,0,0,12,0,7
2013-02-01,0,0,24,0,7
2013-03-01,0,0,14,0,9
2013-04-01,0,0,23,0,6
2013-05-01,0,0,16,0,7
2013-06-01,0,0,17,0,8
2013-07-01,0,0,10,0,7
2013-08-01,0,0,12,0,6
2013-09-01,0,0,14,0,11
2013-10-01,0,0,16,0,12
2013-11-01,0,0,19,0,0
2013-12-01,0,0,9,0,9
2014-01-01,0,0,9,0,8
2014-02-01,0,0,24,0,8
2014-03-01,0,0,17,0,7
2014-04-01,0,0,21,0,9
2014-05-01,0,0,16,0,9
2014-06-01,0,0,10,0,10
2014-07-01,0,0,12,0,5
2014-08-01,0,0,13,6,5
2014-09-01,0,0,13,0,7
2014-10-01,0,0,18,0,5
2014-11-01,0,0,15,0,8
2014-12-01,0,0,11,0,0
2015-01-01,0,0,19,0,7
2015-02-01,0,0,32,0,6
2015-03-01,0,0,30,0,10
2015-04-01,0,0,31,0,13
2015-05-01,0,0,24,0,12
2015-06-01,0,0,22,0,7
2015-07-01,0,0,21,4,5
2015-08-01,0,0,13,0,4
2015-09-01,0,0,22,0,5
2015-10-01,0,0,21,0,11
2015-11-01,0,0,23,0,10
2015-12-01,0,0,22,0,9
2016-01-01,0,0,23,0,7
2016-02-01,0,0,35,0,8
2016-03-01,0,0,36,0,14
2016-04-01,0,0,31,0,8
2016-05-01,0,0,20,0,5
2016-06-01,0,0,18,0,7
2016-07-01,0,0,18,0,4
2016-08-01,0,0,13,0,9
2016-09-01,0,0,19,0,8
2016-10-01,0,0,23,0,6
2016-11-01,0,0,22,0,6
2016-12-01,0,4,23,0,6
2017-01-01,0,32,19,0,6
2017-02-01,0,0,43,0,14
2017-03-01,0,0,38,0,10
2017-04-01,0,0,32,0,10
2017-05-01,0,0,26,0,11
2017-06-01,0,0,30,0,10
2017-07-01,0,0,30,0,7
2017-08-01,0,0,24,0,6
2017-09-01,0,0,25,0,6
2017-10-01,0,0,31,0,9
2017-11-01,0,0,29,5,5
2017-12-01,0,0,28,0,0
2018-01-01,0,0,48,0,7
2018-02-01,0,0,41,0,8
2018-03-01,0,0,53,0,13
2018-04-01,0,6,45,0,11
2018-05-01,0,0,37,0,12
2018-06-01,0,0,30,0,7
2018-07-01,0,0,30,0,12
2018-08-01,0,0,22,0,7
2018-09-01,0,0,32,0,9
2018-10-01,0,0,30,0,7
2018-11-01,0,0,36,0,8
2018-12-01,0,0,32,0,5
2019-01-01,0,0,68,0,6
2019-02-01,0,0,51,0,14
2019-03-01,0,0,49,0,11
2019-04-01,0,0,51,0,10
2019-05-01,0,0,29,0,8
2019-06-01,0,0,32,0,9
2019-07-01,0,0,33,0,9
2019-08-01,0,0,25,0,11
2019-09-01,0,20,27,0,7
2019-10-01,0,3,31,0,12
2019-11-01,0,0,36,0,6
2019-12-01,0,0,45,0,10
2020-01-01,0,0,60,0,9
2020-02-01,0,5,28,0,8
2020-03-01,0,0,14,0,6
2020-04-01,0,0,29,0,9
2020-05-01,0,3,43,0,12
2020-06-01,0,4,42,0,12
2020-07-01,0,3,36,0,11
2020-08-01,0,0,12,0,5
2020-09-01,0,0,18,0,7
2020-10-01,0,0,16,0,0
2020-11-01,0,0,22,0,6
2020-12-01,0,0,45,0,7
2021-01-01,0,0,59,0,9
2021-02-01,0,0,23,0,14
2021-03-01,0,0,50,0,17
2021-04-01,0,5,59,0,20
2021-05-01,0,0,27,0,10
2021-06-01,0,0,11,0,5
2021-07-01,0,0,13,0,5
2021-08-01,0,0,17,0,4
2021-09-01,0,0,14,0,6
2021-10-01,0,0,20,0,4
2021-11-01,0,0,25,0,6
2021-12-01,0,0,31,0,4
2022-01-01,0,0,44,0,13
2022-02-01,0,0,55,0,14
2022-03-01,0,0,80,0,23
2022-04-01,0,3,74,0,25
2022-05-01,0,0,59,4,24
2022-06-01,0,3,44,0,26
2022-07-01,0,4,44,0,20
2022-08-01,0,0,38,0,17
2022-09-01,0,3,42,0,20
2022-10-01,0,0,55,5,13
2022-11-01,0,2,52,0,12
2022-12-01,0,0,64,0,15
2023-01-01,0,0,71,0,11
2023-02-01,0,4,80,0,20
2023-03-01,0,5,68,0,27
2023-04-01,0,3,75,3,26
2023-05-01,0,2,49,0,22
2023-06-01,0,0,46,0,19
2023-07-01,0,5,46,0,21
2023-08-01,0,0,36,0,18
2023-09-01,0,4,46,0,21
2023-10-01,0,5,48,0,16
2023-11-01,0,4,56,0,16
2023-12-01,0,3,73,0,18
2024-01-01,0,3,100,0,15
2024-02-01,0,0,73,0,18
2024-03-01,0,0,64,0,25
2024-04-01,0,3,73,0,27
2024-05-01,0,0,54,0,20
2024-06-01,0,0,40,0,23
2024-07-01,0,0,53,0,24
2024-08-01,0,0,54,0,16
2024-09-01,0,0,47,0,16
2024-10-01,0,7,57,0,17
2024-11-01,0,0,51,0,19
2024-12-01,0,0,45,0,22
2025-01-01,0,0,31,0,22
2025-02-01,0,5,74,0,27
2025-03-01,0,5,60,0,33
2025-04-01,0,0,73,0,33
2025-05-01,0,3,54,3,28
2025-06-01,0,0,45,0,22
2025-07-01,0,0,52,0,27
2025-08-01,0,0,37,0,26
2025-09-01,0,4,44,0,18
2025-10-01,0,6,42,0,14
2025-11-01,0,1,48,1,14
