date,Thiền viện Trúc Lâm Phương Nam,Chùa Nam Nhã,Du lịch vườn Cần Thơ,Đình Bình Thủy,Chợ nổi Cái Răng
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,14
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,10
2012-04-01,0,0,0,0,14
2012-05-01,0,0,0,0,19
2012-06-01,0,0,0,0,9
2012-07-01,0,0,0,0,16
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,18
2012-10-01,0,0,0,0,14
2012-11-01,0,0,0,0,9
2012-12-01,0,0,0,0,11
2013-01-01,0,0,0,0,10
2013-02-01,0,0,0,0,20
2013-03-01,0,0,0,0,16
2013-04-01,0,0,10,0,17
2013-05-01,0,0,0,0,19
2013-06-01,0,0,0,0,11
2013-07-01,0,0,0,0,14
2013-08-01,0,0,0,0,13
2013-09-01,0,0,0,0,18
2013-10-01,0,0,0,8,13
2013-11-01,0,0,0,0,14
2013-12-01,0,0,0,0,18
2014-01-01,0,0,0,11,17
2014-02-01,0,0,0,0,19
2014-03-01,0,0,0,6,20
2014-04-01,0,0,0,6,26
2014-05-01,29,0,0,0,18
2014-06-01,16,0,0,0,20
2014-07-01,11,0,0,0,15
2014-08-01,23,0,0,0,13
2014-09-01,14,0,0,0,22
2014-10-01,10,0,0,11,18
2014-11-01,0,0,0,0,19
2014-12-01,10,0,0,0,20
2015-01-01,0,0,0,0,20
2015-02-01,20,0,0,11,22
2015-03-01,20,0,0,10,19
2015-04-01,9,0,6,0,36
2015-05-01,10,0,0,0,28
2015-06-01,12,0,0,6,26
2015-07-01,13,0,0,6,29
2015-08-01,9,0,7,5,25
2015-09-01,9,0,0,0,21
2015-10-01,0,0,6,10,24
2015-11-01,6,0,0,0,30
2015-12-01,6,0,0,8,29
2016-01-01,9,0,0,0,29
2016-02-01,11,0,0,9,35
2016-03-01,0,0,5,6,29
2016-04-01,10,0,7,0,42
2016-05-01,6,0,0,8,31
2016-06-01,8,0,9,0,35
2016-07-01,9,0,9,5,65
2016-08-01,7,0,0,0,27
2016-09-01,7,0,0,0,33
2016-10-01,0,0,0,0,36
2016-11-01,7,0,0,10,34
2016-12-01,8,0,8,10,24
2017-01-01,7,0,7,8,37
2017-02-01,13,0,0,10,59
2017-03-01,6,0,8,6,37
2017-04-01,9,0,5,7,51
2017-05-01,6,5,9,9,34
2017-06-01,8,0,12,6,41
2017-07-01,6,0,8,7,50
2017-08-01,8,0,10,0,30
2017-09-01,9,0,8,8,25
2017-10-01,0,0,5,9,27
2017-11-01,0,0,6,16,30
2017-12-01,6,0,6,10,29
2018-01-01,8,0,8,7,35
2018-02-01,23,0,9,7,50
2018-03-01,12,6,11,9,49
2018-04-01,13,0,13,10,74
2018-05-01,10,0,13,8,36
2018-06-01,8,0,9,9,51
2018-07-01,5,0,8,8,52
2018-08-01,5,7,10,5,44
2018-09-01,10,0,9,6,40
2018-10-01,7,0,6,9,47
2018-11-01,0,0,0,9,57
2018-12-01,6,0,6,9,36
2019-01-01,0,0,0,0,41
2019-02-01,14,8,8,15,68
2019-03-01,10,0,0,7,52
2019-04-01,13,0,13,11,72
2019-05-01,9,0,12,14,59
2019-06-01,13,0,8,9,64
2019-07-01,13,0,8,7,69
2019-08-01,10,0,5,8,55
2019-09-01,6,0,5,11,51
2019-10-01,6,0,5,11,54
2019-11-01,10,0,6,11,46
2019-12-01,5,0,0,9,45
2020-01-01,12,0,7,5,54
2020-02-01,4,0,0,12,45
2020-03-01,0,0,0,10,31
2020-04-01,0,0,0,11,35
2020-05-01,4,0,9,16,49
2020-06-01,10,0,8,17,66
2020-07-01,8,0,5,7,68
2020-08-01,6,0,6,10,32
2020-09-01,7,0,5,8,30
2020-10-01,6,0,0,13,46
2020-11-01,10,0,4,8,53
2020-12-01,6,0,0,11,45
2021-01-01,5,0,0,11,43
2021-02-01,10,0,0,9,37
2021-03-01,6,0,0,18,65
2021-04-01,9,0,6,12,75
2021-05-01,0,0,6,13,36
2021-06-01,0,0,0,9,21
2021-07-01,0,0,0,11,17
2021-08-01,0,0,0,7,18
2021-09-01,0,0,0,10,17
2021-10-01,0,0,0,18,36
2021-11-01,0,0,0,28,22
2021-12-01,0,0,0,28,27
2022-01-01,0,0,0,25,31
2022-02-01,9,5,6,13,52
2022-03-01,9,3,5,44,72
2022-04-01,9,5,9,30,76
2022-05-01,11,3,7,27,64
2022-06-01,7,0,8,16,69
2022-07-01,11,0,7,15,69
2022-08-01,6,0,5,7,62
2022-09-01,6,0,3,15,58
2022-10-01,5,4,6,21,63
2022-11-01,5,4,0,17,59
2022-12-01,5,0,0,25,73
2023-01-01,11,4,4,14,66
2023-02-01,9,4,6,24,77
2023-03-01,7,3,7,26,100
2023-04-01,7,4,8,31,88
2023-05-01,7,0,9,21,70
2023-06-01,10,0,9,21,67
2023-07-01,7,0,9,8,63
2023-08-01,8,0,5,10,54
2023-09-01,4,0,0,13,45
2023-10-01,5,4,5,20,68
2023-11-01,7,4,0,21,69
2023-12-01,6,4,0,24,84
2024-01-01,6,4,4,15,64
2024-02-01,9,8,5,16,72
2024-03-01,7,7,6,20,65
2024-04-01,11,0,8,24,80
2024-05-01,6,4,6,30,59
2024-06-01,6,0,7,23,45
2024-07-01,0,0,7,12,50
2024-08-01,11,0,4,12,48
2024-09-01,6,0,0,14,52
2024-10-01,9,0,5,25,76
2024-11-01,0,5,5,20,64
2024-12-01,9,7,5,29,79
2025-01-01,7,6,0,19,43
2025-02-01,6,0,5,20,75
2025-03-01,0,0,0,21,68
2025-04-01,7,0,0,20,63
2025-05-01,9,0,5,20,49
2025-06-01,0,0,5,19,47
2025-07-01,6,0,6,13,46
2025-08-01,6,0,7,11,41
2025-09-01,0,0,0,18,40
2025-10-01,5,5,0,22,58
2025-11-01,4,2,1,25,61
