date,Chùa Vĩnh Nghiêm Thành phố Hồ Chí Minh,Chùa Vĩnh Nghiêm Bắc Ninh,Suối Tiên Thành phố Hồ Chí Minh,Suối Tiên Bà Rịa - Vũng Tàu,Nhà thờ Chợ Quán
2010-11-01,0,0,0,0,0
2010-12-01,0,0,0,0,0
2011-01-01,0,0,0,0,0
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,83
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,86
2015-03-01,0,0,0,0,0
2015-04-01,0,0,51,0,0
2015-05-01,0,0,0,0,0
2015-06-01,0,0,40,0,0
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,39
2015-12-01,0,0,0,0,61
2016-01-01,0,0,0,0,0
2016-02-01,0,0,0,0,0
2016-03-01,0,0,0,0,46
2016-04-01,0,0,0,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,37,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-11-01,0,0,0,45,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-03-01,0,0,0,0,0
2017-04-01,0,0,0,0,0
2017-05-01,0,0,0,0,0
2017-06-01,0,0,0,0,40
2017-07-01,0,0,0,0,0
2017-08-01,0,0,43,0,42
2017-09-01,0,0,0,0,48
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,44
2017-12-01,0,0,0,0,83
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,0,0,37,0,58
2018-04-01,0,0,0,0,43
2018-05-01,0,0,0,0,0
2018-06-01,0,0,0,0,0
2018-07-01,0,0,0,0,0
2018-08-01,0,0,0,0,33
2018-09-01,0,0,0,0,40
2018-10-01,0,0,0,0,0
2018-11-01,0,0,0,0,40
2018-12-01,0,0,0,0,50
2019-01-01,0,0,0,0,0
2019-02-01,0,0,0,0,0
2019-03-01,0,0,0,0,55
2019-04-01,0,0,38,0,73
2019-05-01,0,0,0,0,0
2019-06-01,0,0,0,0,51
2019-07-01,0,0,39,0,57
2019-08-01,0,0,35,0,37
2019-09-01,0,0,0,0,40
2019-10-01,0,0,0,0,60
2019-11-01,0,0,0,0,0
2019-12-01,0,0,0,0,64
2020-01-01,0,0,0,0,39
2020-02-01,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-04-01,0,0,0,0,0
2020-05-01,0,0,0,0,36
2020-06-01,0,0,0,0,0
2020-07-01,0,0,0,0,51
2020-08-01,0,0,0,0,0
2020-09-01,0,0,0,0,42
2020-10-01,0,0,0,0,54
2020-11-01,0,0,0,0,0
2020-12-01,0,0,0,0,86
2021-01-01,0,0,0,0,36
2021-02-01,0,0,0,0,0
2021-03-01,0,0,33,0,31
2021-04-01,0,0,29,0,42
2021-05-01,0,0,31,0,0
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-10-01,0,0,0,0,0
2021-11-01,0,0,0,0,0
2021-12-01,0,0,0,0,31
2022-01-01,0,0,0,0,0
2022-02-01,0,0,36,0,31
2022-03-01,0,0,31,0,35
2022-04-01,0,0,49,0,36
2022-05-01,0,0,51,0,60
2022-06-01,0,0,67,0,28
2022-07-01,0,0,55,0,44
2022-08-01,0,0,33,0,43
2022-09-01,0,0,0,0,45
2022-10-01,0,0,57,0,38
2022-11-01,0,0,26,0,36
2022-12-01,0,0,0,0,49
2023-01-01,0,0,0,0,34
2023-02-01,0,0,0,0,47
2023-03-01,0,0,39,0,37
2023-04-01,0,0,42,0,59
2023-05-01,0,0,27,0,34
2023-06-01,0,0,37,0,48
2023-07-01,0,0,49,0,62
2023-08-01,0,0,69,0,50
2023-09-01,0,0,0,0,43
2023-10-01,0,0,39,0,45
2023-11-01,0,0,31,0,39
2023-12-01,0,0,0,0,85
2024-01-01,0,0,0,0,40
2024-02-01,0,0,45,0,42
2024-03-01,0,0,0,0,100
2024-04-01,0,0,48,0,65
2024-05-01,0,0,33,0,0
2024-06-01,0,0,43,0,30
2024-07-01,0,0,46,0,0
2024-08-01,0,0,0,0,46
2024-09-01,0,0,0,0,44
2024-10-01,0,0,30,0,34
2024-11-01,0,0,37,0,49
2024-12-01,0,0,35,0,92
2025-01-01,0,0,52,0,65
2025-02-01,0,0,38,0,62
2025-03-01,0,0,52,0,90
2025-04-01,0,0,35,0,86
2025-05-01,0,0,38,0,72
2025-06-01,0,0,0,0,69
2025-07-01,0,0,0,0,56
2025-08-01,0,0,0,0,85
2025-09-01,0,0,0,0,43
2025-10-01,0,0,0,0,72
2025-11-01,2,5,14,0,28
