date,Linh Sơn Viên Giác Tự,Thác Pongour,Hồ Tuyền Lâm,núi Voi,Cung đường Tà Năng
2011-03-01,0,0,0,16,0
2011-04-01,0,0,0,18,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,15,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,13,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,14,0
2011-12-01,0,0,10,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,9,0,13,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,8,10,0
2012-05-01,0,0,0,11,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,8,0
2012-09-01,0,0,9,0,0
2012-10-01,0,7,0,13,0
2012-11-01,0,0,0,0,0
2012-12-01,0,11,0,10,0
2013-01-01,0,6,0,10,0
2013-02-01,0,8,0,13,0
2013-03-01,0,0,6,12,0
2013-04-01,0,9,6,14,0
2013-05-01,0,7,0,13,0
2013-06-01,0,8,0,7,0
2013-07-01,0,7,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,6,10,12,0
2013-10-01,0,8,0,11,0
2013-11-01,0,0,0,11,0
2013-12-01,0,0,6,8,0
2014-01-01,0,5,0,9,0
2014-02-01,0,11,0,24,0
2014-03-01,0,0,6,13,0
2014-04-01,0,5,8,10,0
2014-05-01,0,5,5,10,0
2014-06-01,0,6,5,7,0
2014-07-01,0,8,7,10,0
2014-08-01,0,5,6,10,0
2014-09-01,0,0,5,13,0
2014-10-01,0,7,0,13,0
2014-11-01,0,11,8,15,0
2014-12-01,0,8,9,23,0
2015-01-01,0,7,9,12,0
2015-02-01,0,6,10,14,0
2015-03-01,0,9,9,16,0
2015-04-01,0,7,11,13,0
2015-05-01,0,6,10,10,0
2015-06-01,0,9,5,6,0
2015-07-01,0,9,10,9,0
2015-08-01,0,4,7,14,0
2015-09-01,0,8,9,13,0
2015-10-01,0,7,11,15,0
2015-11-01,0,12,17,24,0
2015-12-01,0,8,24,16,0
2016-01-01,0,9,15,16,0
2016-02-01,0,14,11,38,0
2016-03-01,0,8,14,24,0
2016-04-01,0,7,13,20,0
2016-05-01,0,5,22,19,0
2016-06-01,0,9,19,17,0
2016-07-01,0,13,17,21,0
2016-08-01,0,5,18,16,0
2016-09-01,0,7,10,27,0
2016-10-01,0,5,19,17,0
2016-11-01,0,9,31,27,0
2016-12-01,0,6,32,25,0
2017-01-01,0,9,29,23,0
2017-02-01,0,15,45,35,0
2017-03-01,0,5,34,25,0
2017-04-01,0,10,30,27,0
2017-05-01,0,11,31,21,0
2017-06-01,0,15,32,14,0
2017-07-01,0,19,36,16,0
2017-08-01,0,13,35,14,0
2017-09-01,0,10,27,22,0
2017-10-01,0,10,30,23,0
2017-11-01,0,9,30,23,0
2017-12-01,0,13,41,24,0
2018-01-01,0,11,53,21,0
2018-02-01,0,19,63,41,0
2018-03-01,0,17,52,30,0
2018-04-01,0,15,51,23,0
2018-05-01,0,15,53,20,16
2018-06-01,0,22,56,11,0
2018-07-01,0,23,53,15,0
2018-08-01,0,10,43,17,0
2018-09-01,0,9,44,19,0
2018-10-01,0,13,62,22,0
2018-11-01,0,11,73,22,0
2018-12-01,0,13,77,18,0
2019-01-01,0,9,56,19,0
2019-02-01,0,18,81,45,0
2019-03-01,0,11,68,21,0
2019-04-01,0,12,96,23,0
2019-05-01,0,17,63,16,0
2019-06-01,0,21,89,18,0
2019-07-01,0,21,83,12,0
2019-08-01,0,12,46,12,0
2019-09-01,0,9,41,18,0
2019-10-01,0,8,55,30,0
2019-11-01,0,7,56,22,0
2019-12-01,0,12,62,21,0
2020-01-01,0,13,64,21,0
2020-02-01,0,9,55,26,0
2020-03-01,0,5,36,21,0
2020-04-01,0,4,47,60,0
2020-05-01,0,11,73,33,0
2020-06-01,0,11,63,31,0
2020-07-01,0,17,78,19,0
2020-08-01,0,4,23,16,0
2020-09-01,0,4,49,15,0
2020-10-01,0,9,45,24,0
2020-11-01,0,9,73,29,0
2020-12-01,0,10,78,26,0
2021-01-01,4,9,65,25,0
2021-02-01,0,9,51,19,0
2021-03-01,0,9,67,35,0
2021-04-01,0,12,69,29,0
2021-05-01,0,5,25,27,0
2021-06-01,0,4,11,20,0
2021-07-01,0,0,11,11,0
2021-08-01,0,0,13,13,0
2021-09-01,0,0,12,25,0
2021-10-01,0,0,13,63,0
2021-11-01,0,0,22,74,0
2021-12-01,0,4,46,50,0
2022-01-01,0,5,73,40,0
2022-02-01,0,17,92,36,0
2022-03-01,0,9,53,54,0
2022-04-01,0,9,59,42,0
2022-05-01,0,10,53,33,0
2022-06-01,0,14,68,24,0
2022-07-01,0,20,73,22,0
2022-08-01,0,15,59,21,0
2022-09-01,0,7,42,28,0
2022-10-01,0,5,44,43,0
2022-11-01,0,7,51,41,0
2022-12-01,0,7,44,39,0
2023-01-01,0,12,51,39,0
2023-02-01,0,10,54,54,0
2023-03-01,0,11,46,47,0
2023-04-01,0,10,43,44,0
2023-05-01,0,13,40,36,0
2023-06-01,0,19,53,34,0
2023-07-01,0,14,54,37,0
2023-08-01,0,11,26,33,0
2023-09-01,0,5,23,27,0
2023-10-01,0,7,31,47,0
2023-11-01,0,6,37,45,0
2023-12-01,0,7,43,51,0
2024-01-01,0,8,33,38,0
2024-02-01,0,14,51,62,0
2024-03-01,0,11,41,46,0
2024-04-01,0,12,45,43,0
2024-05-01,0,10,32,41,0
2024-06-01,0,9,100,39,0
2024-07-01,0,14,40,35,3
2024-08-01,0,12,35,36,0
2024-09-01,0,5,23,48,0
2024-10-01,0,5,29,39,0
2024-11-01,0,6,44,38,0
2024-12-01,0,6,40,35,0
2025-01-01,0,7,35,40,0
2025-02-01,0,11,42,57,0
2025-03-01,0,6,33,42,0
2025-04-01,0,4,37,38,0
2025-05-01,0,7,35,43,0
2025-06-01,0,7,41,37,0
2025-07-01,0,7,46,48,0
2025-08-01,0,5,35,38,0
2025-09-01,0,4,24,35,0
2025-10-01,0,4,25,38,0
2025-11-01,0,7,26,44,0
