date,Nhà thờ Đá Nha Trang,Du lịch Suối khoáng nóng Tháp Bà Nha Trang,Viện Hải Dương Học,Con Sẻ Tre,Hòn Ngọc Việt
2011-01-01,0,0,0,0,0
2011-02-01,0,0,10,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,9,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,10,0,0
2011-07-01,0,0,13,0,0
2011-08-01,0,0,13,0,0
2011-09-01,0,0,8,0,0
2011-10-01,0,0,7,0,0
2011-11-01,0,0,9,0,0
2011-12-01,0,0,7,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,12,0,0
2012-04-01,0,0,10,0,0
2012-05-01,0,0,12,0,0
2012-06-01,0,0,13,0,0
2012-07-01,0,0,15,0,5
2012-08-01,0,0,20,0,0
2012-09-01,0,0,13,0,0
2012-10-01,0,0,11,0,0
2012-11-01,0,0,7,0,0
2012-12-01,0,0,4,0,0
2013-01-01,0,0,8,0,0
2013-02-01,0,0,6,0,0
2013-03-01,0,0,14,0,0
2013-04-01,0,0,15,0,0
2013-05-01,5,0,14,0,0
2013-06-01,0,0,17,0,0
2013-07-01,4,0,15,4,0
2013-08-01,0,0,21,0,0
2013-09-01,0,0,14,0,0
2013-10-01,0,0,8,0,4
2013-11-01,0,0,8,0,0
2013-12-01,0,0,9,0,0
2014-01-01,0,0,10,0,0
2014-02-01,0,0,15,0,0
2014-03-01,0,0,19,0,0
2014-04-01,0,0,15,3,0
2014-05-01,0,0,15,0,0
2014-06-01,0,0,13,4,0
2014-07-01,5,0,18,5,0
2014-08-01,0,0,19,0,0
2014-09-01,3,0,17,0,0
2014-10-01,0,0,10,0,0
2014-11-01,0,0,12,0,0
2014-12-01,0,0,8,0,0
2015-01-01,0,0,11,0,0
2015-02-01,0,0,14,0,0
2015-03-01,4,0,13,0,5
2015-04-01,4,0,18,3,5
2015-05-01,5,0,17,0,0
2015-06-01,6,0,19,0,0
2015-07-01,6,0,26,4,0
2015-08-01,4,0,33,5,0
2015-09-01,4,0,10,0,0
2015-10-01,3,0,10,0,0
2015-11-01,4,0,11,3,5
2015-12-01,0,0,9,0,0
2016-01-01,3,0,8,0,0
2016-02-01,3,0,13,0,0
2016-03-01,0,0,13,0,4
2016-04-01,4,0,16,3,0
2016-05-01,3,0,15,3,0
2016-06-01,6,0,18,3,0
2016-07-01,9,0,34,5,3
2016-08-01,4,0,33,0,0
2016-09-01,4,0,14,0,0
2016-10-01,3,0,12,0,0
2016-11-01,0,0,11,0,0
2016-12-01,0,0,11,0,3
2017-01-01,0,0,10,0,0
2017-02-01,5,0,19,4,0
2017-03-01,4,0,22,3,3
2017-04-01,9,0,25,3,4
2017-05-01,7,0,19,4,0
2017-06-01,7,0,27,3,0
2017-07-01,7,0,40,0,0
2017-08-01,4,0,21,0,0
2017-09-01,6,0,17,0,3
2017-10-01,5,0,13,0,0
2017-11-01,3,0,14,0,4
2017-12-01,6,0,12,0,0
2018-01-01,0,0,13,0,0
2018-02-01,8,0,22,0,4
2018-03-01,5,0,18,4,0
2018-04-01,7,0,31,5,0
2018-05-01,5,0,29,0,0
2018-06-01,7,0,29,3,0
2018-07-01,8,0,41,3,0
2018-08-01,8,0,34,2,0
2018-09-01,4,0,18,0,0
2018-10-01,4,0,16,3,0
2018-11-01,4,0,18,0,0
2018-12-01,6,0,15,0,0
2019-01-01,5,0,14,0,0
2019-02-01,10,0,23,0,0
2019-03-01,5,0,22,0,0
2019-04-01,9,0,28,0,0
2019-05-01,5,0,25,0,3
2019-06-01,10,0,38,2,0
2019-07-01,9,0,40,3,3
2019-08-01,7,0,28,0,2
2019-09-01,6,0,22,0,0
2019-10-01,5,0,16,0,3
2019-11-01,5,0,15,0,0
2019-12-01,5,0,16,0,0
2020-01-01,7,0,14,0,4
2020-02-01,0,0,10,0,0
2020-03-01,0,0,10,0,0
2020-04-01,0,0,9,0,0
2020-05-01,3,0,20,3,2
2020-06-01,7,0,26,2,2
2020-07-01,10,0,32,6,0
2020-08-01,0,0,13,0,0
2020-09-01,0,0,15,0,0
2020-10-01,3,0,18,0,0
2020-11-01,3,0,14,0,3
2020-12-01,6,0,15,0,5
2021-01-01,3,0,17,0,3
2021-02-01,3,0,12,0,0
2021-03-01,4,0,19,0,2
2021-04-01,6,0,29,0,0
2021-05-01,4,0,16,0,2
2021-06-01,0,0,9,0,2
2021-07-01,0,0,16,0,0
2021-08-01,0,0,9,0,0
2021-09-01,0,0,13,0,2
2021-10-01,0,0,9,0,4
2021-11-01,0,0,8,0,0
2021-12-01,0,0,10,2,3
2022-01-01,3,0,13,0,3
2022-02-01,7,0,26,0,0
2022-03-01,5,0,20,3,4
2022-04-01,9,0,28,3,3
2022-05-01,7,0,34,4,2
2022-06-01,9,0,42,5,2
2022-07-01,12,0,49,4,2
2022-08-01,9,0,37,4,4
2022-09-01,7,0,28,2,3
2022-10-01,4,0,19,3,3
2022-11-01,5,0,16,4,2
2022-12-01,3,0,18,0,3
2023-01-01,6,0,25,2,0
2023-02-01,5,0,26,0,4
2023-03-01,7,0,28,4,3
2023-04-01,8,0,33,3,5
2023-05-01,5,0,34,3,2
2023-06-01,11,0,58,2,2
2023-07-01,12,0,61,4,0
2023-08-01,8,0,45,4,0
2023-09-01,6,0,30,0,2
2023-10-01,6,0,22,0,3
2023-11-01,6,0,20,2,3
2023-12-01,8,0,20,2,2
2024-01-01,4,0,20,3,4
2024-02-01,8,0,37,0,0
2024-03-01,5,0,29,0,2
2024-04-01,9,0,36,3,4
2024-05-01,6,0,41,4,4
2024-06-01,9,0,53,5,2
2024-07-01,10,0,68,4,5
2024-08-01,10,0,55,4,4
2024-09-01,5,0,25,0,3
2024-10-01,4,0,30,0,0
2024-11-01,6,0,24,0,4
2024-12-01,6,0,22,3,5
2025-01-01,5,0,22,0,4
2025-02-01,7,0,32,0,0
2025-03-01,6,0,34,0,0
2025-04-01,7,0,34,3,6
2025-05-01,6,0,43,2,3
2025-06-01,7,0,56,3,0
2025-07-01,9,0,71,4,3
2025-08-01,7,0,52,3,0
2025-09-01,4,0,32,0,4
2025-10-01,5,0,37,0,4
2025-11-01,4,0,21,1,7
