date,Đồi C1,Du lịch cộng đồng Bản Mển,Biển Quy Nhơn,Vịnh Cam Ranh,Thác Tà Gụ
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,9,19,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,9,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,6,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,7,8,0
2012-06-01,0,0,8,24,0
2012-07-01,0,0,6,15,0
2012-08-01,0,0,0,11,0
2012-09-01,0,0,6,15,0
2012-10-01,0,0,7,6,0
2012-11-01,0,0,0,11,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,6,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,15,0
2013-04-01,0,0,7,9,0
2013-05-01,0,0,12,8,0
2013-06-01,0,0,0,7,0
2013-07-01,0,0,10,8,0
2013-08-01,0,0,8,0,0
2013-09-01,0,0,0,6,0
2013-10-01,0,0,8,0,0
2013-11-01,0,0,6,8,0
2013-12-01,0,0,6,9,0
2014-01-01,0,0,0,6,0
2014-02-01,0,0,7,7,0
2014-03-01,0,0,0,6,0
2014-04-01,0,0,5,7,0
2014-05-01,0,0,9,21,0
2014-06-01,0,0,13,14,0
2014-07-01,0,0,10,11,0
2014-08-01,0,0,7,5,0
2014-09-01,0,0,5,14,6
2014-10-01,0,0,6,10,0
2014-11-01,0,0,7,7,0
2014-12-01,0,0,4,10,0
2015-01-01,0,0,6,7,0
2015-02-01,0,0,8,6,0
2015-03-01,0,0,14,11,0
2015-04-01,0,0,16,5,0
2015-05-01,0,0,16,16,0
2015-06-01,0,0,19,9,0
2015-07-01,0,0,13,15,0
2015-08-01,0,0,11,8,0
2015-09-01,0,0,9,7,0
2015-10-01,0,0,6,11,0
2015-11-01,0,0,9,8,0
2015-12-01,4,0,10,4,0
2016-01-01,0,0,5,4,0
2016-02-01,0,0,21,7,0
2016-03-01,0,0,20,9,0
2016-04-01,0,0,28,17,0
2016-05-01,0,0,24,17,0
2016-06-01,0,0,27,12,0
2016-07-01,0,0,29,7,0
2016-08-01,0,0,23,22,0
2016-09-01,0,0,15,19,0
2016-10-01,0,0,13,13,0
2016-11-01,0,0,13,10,0
2016-12-01,0,0,12,9,0
2017-01-01,0,0,15,5,0
2017-02-01,3,0,28,8,0
2017-03-01,0,0,24,12,0
2017-04-01,0,0,29,13,0
2017-05-01,0,0,42,9,0
2017-06-01,0,0,42,16,0
2017-07-01,0,0,36,7,0
2017-08-01,0,0,24,9,0
2017-09-01,0,0,20,8,0
2017-10-01,0,0,21,8,0
2017-11-01,0,0,24,10,0
2017-12-01,0,0,15,9,0
2018-01-01,0,0,14,4,0
2018-02-01,0,0,28,6,0
2018-03-01,0,0,44,10,0
2018-04-01,0,0,46,14,0
2018-05-01,0,0,52,10,0
2018-06-01,0,0,65,12,0
2018-07-01,0,0,62,8,0
2018-08-01,0,0,36,6,0
2018-09-01,0,0,30,5,0
2018-10-01,0,0,64,12,0
2018-11-01,0,0,33,7,0
2018-12-01,0,0,27,10,0
2019-01-01,0,0,25,4,4
2019-02-01,0,0,57,7,0
2019-03-01,0,0,46,14,0
2019-04-01,0,0,68,12,0
2019-05-01,0,0,66,7,0
2019-06-01,0,0,79,11,0
2019-07-01,0,0,62,14,0
2019-08-01,0,0,47,10,0
2019-09-01,0,0,36,6,0
2019-10-01,0,0,26,8,0
2019-11-01,0,0,23,8,0
2019-12-01,0,0,26,11,0
2020-01-01,0,0,37,6,0
2020-02-01,0,0,43,6,0
2020-03-01,0,0,36,4,0
2020-04-01,0,0,31,7,0
2020-05-01,0,0,64,9,0
2020-06-01,0,0,90,11,0
2020-07-01,0,0,100,12,0
2020-08-01,0,0,23,3,0
2020-09-01,0,0,33,6,0
2020-10-01,0,0,34,8,0
2020-11-01,0,0,32,11,0
2020-12-01,0,0,26,13,0
2021-01-01,0,0,27,4,0
2021-02-01,0,0,30,7,0
2021-03-01,0,0,46,10,0
2021-04-01,0,0,70,11,0
2021-05-01,0,0,42,9,0
2021-06-01,0,0,24,4,0
2021-07-01,0,0,14,8,0
2021-08-01,0,0,12,5,0
2021-09-01,0,0,12,9,0
2021-10-01,0,0,16,24,0
2021-11-01,0,0,20,20,0
2021-12-01,0,0,26,18,0
2022-01-01,0,0,31,16,0
2022-02-01,0,0,54,14,0
2022-03-01,0,0,67,19,0
2022-04-01,0,0,85,17,0
2022-05-01,0,0,78,15,0
2022-06-01,0,0,92,13,0
2022-07-01,0,0,89,13,0
2022-08-01,0,0,68,12,0
2022-09-01,0,0,47,10,0
2022-10-01,0,0,36,24,0
2022-11-01,0,0,30,14,0
2022-12-01,0,0,25,11,0
2023-01-01,0,0,38,10,0
2023-02-01,0,0,44,14,0
2023-03-01,0,0,49,18,0
2023-04-01,0,0,66,38,0
2023-05-01,0,0,68,17,2
2023-06-01,0,0,84,16,0
2023-07-01,0,0,83,15,4
2023-08-01,0,0,52,11,4
2023-09-01,0,0,28,13,0
2023-10-01,0,0,30,19,0
2023-11-01,0,0,30,16,0
2023-12-01,0,0,29,14,0
2024-01-01,0,0,28,12,0
2024-02-01,0,0,49,6,0
2024-03-01,0,0,45,15,0
2024-04-01,4,0,65,35,0
2024-05-01,0,0,60,15,0
2024-06-01,0,0,77,14,0
2024-07-01,0,0,71,11,4
2024-08-01,0,0,49,11,0
2024-09-01,0,0,30,13,0
2024-10-01,0,0,33,9,0
2024-11-01,0,0,30,11,0
2024-12-01,0,0,26,11,0
2025-01-01,0,0,30,9,0
2025-02-01,0,0,45,10,0
2025-03-01,0,0,47,19,0
2025-04-01,0,0,55,28,0
2025-05-01,0,0,59,14,0
2025-06-01,0,0,69,11,0
2025-07-01,0,0,70,12,0
2025-08-01,0,0,56,15,0
2025-09-01,0,0,32,10,0
2025-10-01,0,0,32,11,0
2025-11-01,0,0,35,13,0
