date,Phố Hiến,Đền Chử Đồng Tử,Chùa Hiến,Đền Đậu An,Chùa Nễ Châu
2011-03-01,8,0,0,0,0
2011-04-01,16,0,0,0,0
2011-05-01,8,0,0,0,0
2011-06-01,7,0,0,0,0
2011-07-01,8,0,0,0,0
2011-08-01,8,0,0,0,0
2011-09-01,10,0,0,0,0
2011-10-01,9,0,0,0,0
2011-11-01,10,0,0,0,0
2011-12-01,5,0,0,0,0
2012-01-01,6,0,0,0,0
2012-02-01,10,0,0,0,0
2012-03-01,8,0,0,0,0
2012-04-01,9,0,0,0,0
2012-05-01,5,0,0,0,0
2012-06-01,5,0,0,0,0
2012-07-01,7,0,0,0,0
2012-08-01,7,0,0,0,0
2012-09-01,4,0,0,0,0
2012-10-01,8,0,0,0,0
2012-11-01,6,0,0,0,0
2012-12-01,5,0,0,0,0
2013-01-01,7,2,0,0,0
2013-02-01,7,0,0,0,0
2013-03-01,10,0,0,0,0
2013-04-01,11,0,0,0,0
2013-05-01,8,0,0,0,0
2013-06-01,8,0,0,0,0
2013-07-01,6,0,0,0,0
2013-08-01,11,0,0,0,0
2013-09-01,9,0,0,0,0
2013-10-01,8,0,0,0,0
2013-11-01,8,0,0,0,0
2013-12-01,7,0,0,0,0
2014-01-01,4,0,0,0,0
2014-02-01,9,4,0,0,0
2014-03-01,35,0,0,0,0
2014-04-01,10,0,0,0,0
2014-05-01,8,1,0,0,0
2014-06-01,7,0,0,0,0
2014-07-01,6,0,0,0,0
2014-08-01,7,0,0,0,0
2014-09-01,7,0,0,0,0
2014-10-01,8,0,0,0,0
2014-11-01,7,0,0,0,0
2014-12-01,7,0,0,0,0
2015-01-01,6,0,0,0,0
2015-02-01,7,2,0,0,0
2015-03-01,12,2,1,0,0
2015-04-01,12,0,0,0,0
2015-05-01,7,0,0,0,0
2015-06-01,7,0,0,0,0
2015-07-01,7,0,0,0,0
2015-08-01,10,0,0,0,0
2015-09-01,9,0,0,0,0
2015-10-01,8,0,0,0,0
2015-11-01,9,0,0,0,0
2015-12-01,6,0,0,0,0
2016-01-01,6,0,0,0,0
2016-02-01,11,3,2,0,0
2016-03-01,10,3,0,0,0
2016-04-01,8,0,0,0,0
2016-05-01,6,0,0,0,0
2016-06-01,6,0,0,0,0
2016-07-01,7,0,2,0,0
2016-08-01,6,0,0,0,0
2016-09-01,7,0,0,0,0
2016-10-01,6,0,0,0,0
2016-11-01,7,0,1,0,0
2016-12-01,7,0,1,0,0
2017-01-01,7,0,0,0,0
2017-02-01,13,3,2,2,0
2017-03-01,13,0,1,0,0
2017-04-01,11,0,1,0,0
2017-05-01,8,0,0,0,0
2017-06-01,7,0,0,0,0
2017-07-01,8,0,0,0,0
2017-08-01,7,1,0,0,0
2017-09-01,11,0,0,0,0
2017-10-01,10,0,0,0,0
2017-11-01,7,0,0,0,0
2017-12-01,7,0,0,0,0
2018-01-01,8,0,0,0,0
2018-02-01,9,2,0,0,0
2018-03-01,13,2,1,0,0
2018-04-01,15,0,2,0,0
2018-05-01,13,0,0,0,0
2018-06-01,9,0,0,0,0
2018-07-01,16,0,0,0,0
2018-08-01,11,0,0,0,0
2018-09-01,10,0,0,0,0
2018-10-01,15,0,0,0,0
2018-11-01,12,0,1,0,0
2018-12-01,10,0,0,0,0
2019-01-01,13,0,0,0,0
2019-02-01,15,2,2,2,0
2019-03-01,20,2,1,0,0
2019-04-01,33,0,1,0,0
2019-05-01,30,0,0,2,0
2019-06-01,31,0,1,0,0
2019-07-01,29,0,1,0,0
2019-08-01,24,0,0,0,0
2019-09-01,20,0,1,0,0
2019-10-01,100,0,0,0,0
2019-11-01,20,0,0,0,0
2019-12-01,16,0,0,0,0
2020-01-01,12,0,1,0,0
2020-02-01,13,1,2,0,0
2020-03-01,15,0,1,0,0
2020-04-01,16,2,1,0,0
2020-05-01,23,0,1,0,0
2020-06-01,28,0,1,0,0
2020-07-01,25,0,2,0,0
2020-08-01,15,0,1,0,0
2020-09-01,21,0,0,0,0
2020-10-01,32,0,0,0,0
2020-11-01,19,0,2,0,0
2020-12-01,18,0,0,0,0
2021-01-01,15,1,0,0,0
2021-02-01,13,1,0,0,0
2021-03-01,28,2,1,0,0
2021-04-01,31,1,1,1,0
2021-05-01,22,0,1,0,0
2021-06-01,13,0,1,0,0
2021-07-01,14,0,0,0,0
2021-08-01,13,0,0,0,0
2021-09-01,12,0,0,0,0
2021-10-01,14,0,1,0,0
2021-11-01,21,1,2,0,0
2021-12-01,18,0,1,0,0
2022-01-01,15,0,2,0,0
2022-02-01,22,2,2,2,0
2022-03-01,37,3,2,0,0
2022-04-01,32,2,2,1,0
2022-05-01,21,1,2,2,0
2022-06-01,22,0,2,0,0
2022-07-01,30,0,1,0,0
2022-08-01,32,0,2,1,0
2022-09-01,24,0,1,0,0
2022-10-01,35,1,2,0,0
2022-11-01,20,0,2,1,0
2022-12-01,18,1,1,0,0
2023-01-01,17,2,1,2,0
2023-02-01,23,3,4,1,0
2023-03-01,28,2,3,1,0
2023-04-01,27,1,3,1,0
2023-05-01,21,1,2,2,0
2023-06-01,20,0,2,1,0
2023-07-01,30,0,1,0,0
2023-08-01,20,0,2,0,0
2023-09-01,19,0,1,1,0
2023-10-01,21,1,1,0,0
2023-11-01,21,0,2,0,0
2023-12-01,20,0,2,0,0
2024-01-01,18,1,1,1,0
2024-02-01,21,3,3,2,0
2024-03-01,30,2,4,2,0
2024-04-01,22,3,2,0,0
2024-05-01,42,0,2,2,0
2024-06-01,24,1,3,1,0
2024-07-01,38,0,1,0,0
2024-08-01,20,0,1,0,0
2024-09-01,17,0,1,0,0
2024-10-01,25,1,3,0,0
2024-11-01,24,1,2,0,0
2024-12-01,22,1,2,0,0
2025-01-01,19,0,2,0,0
2025-02-01,22,3,3,2,0
2025-03-01,28,1,2,2,0
2025-04-01,30,0,2,1,0
2025-05-01,27,0,2,1,0
2025-06-01,22,0,0,0,0
2025-07-01,34,0,2,1,0
2025-08-01,95,0,2,0,0
2025-09-01,31,0,2,0,0
2025-10-01,35,0,3,0,0
2025-11-01,36,0,3,0,0
