date,Khu mộ Đại tướng Võ Nguyên Giáp,Suối nước khoáng nóng Bang,Hang Tối,Hồ Kẻ Gỗ,Núi Hồng Lĩnh
2011-02-01,0,0,0,11,0
2011-03-01,0,0,9,13,0
2011-04-01,0,0,11,8,0
2011-05-01,0,0,13,14,0
2011-06-01,0,0,13,10,0
2011-07-01,0,0,11,13,0
2011-08-01,0,0,15,9,0
2011-09-01,0,0,18,12,0
2011-10-01,0,0,15,14,0
2011-11-01,0,0,14,15,0
2011-12-01,0,0,10,9,0
2012-01-01,0,0,7,10,0
2012-02-01,0,0,8,10,0
2012-03-01,0,0,11,12,0
2012-04-01,0,0,11,12,0
2012-05-01,0,0,13,8,0
2012-06-01,0,0,9,9,0
2012-07-01,0,0,13,10,0
2012-08-01,0,0,15,11,0
2012-09-01,0,0,9,8,0
2012-10-01,0,0,10,8,0
2012-11-01,0,0,12,9,0
2012-12-01,0,0,10,8,0
2013-01-01,0,0,11,8,0
2013-02-01,0,0,6,8,0
2013-03-01,0,0,10,10,0
2013-04-01,0,0,10,14,0
2013-05-01,0,0,11,8,0
2013-06-01,0,0,10,10,0
2013-07-01,0,0,10,10,0
2013-08-01,0,0,13,9,0
2013-09-01,0,0,14,10,0
2013-10-01,10,0,11,12,0
2013-11-01,6,0,12,12,0
2013-12-01,6,0,11,10,0
2014-01-01,3,0,10,7,0
2014-02-01,3,0,16,8,0
2014-03-01,2,0,12,13,0
2014-04-01,6,0,13,7,0
2014-05-01,5,0,10,8,0
2014-06-01,3,0,8,7,0
2014-07-01,0,0,8,9,0
2014-08-01,0,0,11,16,0
2014-09-01,3,0,16,21,0
2014-10-01,3,0,16,17,0
2014-11-01,0,0,14,16,0
2014-12-01,0,0,15,14,0
2015-01-01,0,0,7,14,0
2015-02-01,0,0,9,10,0
2015-03-01,0,0,14,15,0
2015-04-01,2,0,14,17,0
2015-05-01,0,0,17,11,0
2015-06-01,0,0,15,12,0
2015-07-01,0,0,12,11,0
2015-08-01,0,0,18,11,0
2015-09-01,0,0,19,12,0
2015-10-01,0,0,23,14,0
2015-11-01,0,0,19,19,0
2015-12-01,2,0,23,14,0
2016-01-01,0,0,12,12,0
2016-02-01,0,0,14,12,0
2016-03-01,0,0,17,19,0
2016-04-01,0,0,26,16,3
2016-05-01,0,0,23,16,2
2016-06-01,0,0,21,10,0
2016-07-01,0,0,25,12,0
2016-08-01,0,0,24,14,0
2016-09-01,0,0,20,14,4
2016-10-01,0,0,17,30,0
2016-11-01,0,0,19,17,0
2016-12-01,0,0,20,12,0
2017-01-01,0,0,19,14,0
2017-02-01,0,0,22,17,2
2017-03-01,0,0,23,20,0
2017-04-01,0,0,26,20,0
2017-05-01,0,0,29,24,0
2017-06-01,0,0,23,36,0
2017-07-01,0,0,18,28,0
2017-08-01,0,0,24,25,2
2017-09-01,0,0,18,25,0
2017-10-01,0,0,22,32,0
2017-11-01,0,0,14,28,0
2017-12-01,0,0,20,29,0
2018-01-01,0,0,19,36,0
2018-02-01,3,0,19,42,0
2018-03-01,2,0,21,35,0
2018-04-01,0,0,21,45,0
2018-05-01,0,0,17,38,0
2018-06-01,0,0,25,29,0
2018-07-01,0,0,22,35,2
2018-08-01,0,0,25,37,0
2018-09-01,0,0,26,39,0
2018-10-01,2,0,27,39,0
2018-11-01,0,0,21,44,3
2018-12-01,0,0,24,41,0
2019-01-01,0,0,24,33,0
2019-02-01,0,0,20,41,3
2019-03-01,0,0,22,41,2
2019-04-01,0,0,30,35,2
2019-05-01,0,0,27,33,0
2019-06-01,0,0,15,31,10
2019-07-01,0,0,20,35,6
2019-08-01,0,0,23,32,0
2019-09-01,0,0,20,37,3
2019-10-01,0,0,23,37,2
2019-11-01,0,0,21,36,0
2019-12-01,2,0,22,33,3
2020-01-01,0,0,17,40,0
2020-02-01,0,0,15,30,2
2020-03-01,0,0,16,24,2
2020-04-01,0,0,16,30,3
2020-05-01,0,0,15,26,2
2020-06-01,0,0,23,22,3
2020-07-01,0,0,30,30,2
2020-08-01,0,0,10,24,1
2020-09-01,0,0,14,25,0
2020-10-01,0,0,13,100,2
2020-11-01,0,0,13,33,2
2020-12-01,0,0,17,25,3
2021-01-01,0,0,12,23,0
2021-02-01,0,0,15,26,3
2021-03-01,0,0,16,25,2
2021-04-01,0,0,20,24,2
2021-05-01,0,0,21,21,2
2021-06-01,0,0,13,19,3
2021-07-01,0,0,11,16,0
2021-08-01,0,0,20,19,0
2021-09-01,0,0,19,17,2
2021-10-01,0,0,20,21,2
2021-11-01,0,0,19,17,4
2021-12-01,0,0,19,15,6
2022-01-01,0,0,16,29,7
2022-02-01,0,0,18,37,4
2022-03-01,0,0,24,27,7
2022-04-01,0,0,25,34,6
2022-05-01,0,0,24,35,3
2022-06-01,0,0,20,40,2
2022-07-01,0,0,19,39,2
2022-08-01,0,0,20,35,2
2022-09-01,0,0,18,37,2
2022-10-01,0,0,27,35,3
2022-11-01,0,0,19,29,3
2022-12-01,0,0,19,22,7
2023-01-01,0,0,16,29,3
2023-02-01,0,0,19,29,2
2023-03-01,0,0,21,34,4
2023-04-01,0,0,22,33,6
2023-05-01,0,0,25,29,4
2023-06-01,0,0,19,28,3
2023-07-01,0,0,19,25,0
2023-08-01,0,0,18,25,1
2023-09-01,0,0,14,23,2
2023-10-01,0,0,16,23,2
2023-11-01,0,0,21,23,3
2023-12-01,0,0,15,21,7
2024-01-01,0,0,12,22,3
2024-02-01,0,0,12,31,2
2024-03-01,0,0,20,29,3
2024-04-01,0,0,21,29,6
2024-05-01,0,0,24,27,7
2024-06-01,0,0,22,27,4
2024-07-01,2,0,19,29,0
2024-08-01,0,0,19,25,2
2024-09-01,0,0,15,25,3
2024-10-01,0,0,18,25,3
2024-11-01,0,0,15,30,3
2024-12-01,0,0,16,23,7
2025-01-01,0,0,10,24,2
2025-02-01,0,0,13,20,0
2025-03-01,0,0,13,23,3
2025-04-01,0,0,18,22,4
2025-05-01,0,0,18,21,4
2025-06-01,0,0,18,24,2
2025-07-01,0,0,17,27,2
2025-08-01,0,0,16,22,2
2025-09-01,0,0,12,23,3
2025-10-01,0,0,15,25,5
2025-11-01,0,0,15,34,2
