date,Làng Rượu Vân Hà,Núi Dành,Làng nghề Thổ Hà,Hồ Cấm Sơn,Làng Nôm
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,28,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,10,0
2014-01-01,0,0,0,0,12
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,11,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,9,0,0,0
2014-12-01,0,0,0,9,0
2015-01-01,0,0,0,0,0
2015-02-01,0,12,0,0,0
2015-03-01,0,10,0,0,0
2015-04-01,0,8,0,11,9
2015-05-01,0,9,0,0,0
2015-06-01,0,0,0,9,0
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-10-01,0,0,0,8,0
2015-11-01,0,0,0,0,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,0,11
2016-02-01,0,0,0,0,0
2016-03-01,0,0,0,0,0
2016-04-01,0,0,0,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,7,0,0,0
2016-11-01,0,10,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,8,0,0,0
2017-02-01,0,0,0,0,8
2017-03-01,0,12,0,0,0
2017-04-01,0,0,0,0,8
2017-05-01,0,10,0,0,0
2017-06-01,0,0,0,0,0
2017-07-01,0,0,0,0,0
2017-08-01,0,0,0,0,0
2017-09-01,0,0,0,0,0
2017-10-01,0,0,0,0,7
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,0,11
2018-01-01,0,0,0,0,0
2018-02-01,0,11,0,0,0
2018-03-01,0,10,0,0,0
2018-04-01,0,0,0,8,8
2018-05-01,0,10,0,0,0
2018-06-01,0,7,0,0,0
2018-07-01,0,7,0,0,0
2018-08-01,0,9,0,9,0
2018-09-01,0,8,0,8,0
2018-10-01,0,0,0,0,8
2018-11-01,0,0,0,0,0
2018-12-01,0,8,0,0,0
2019-01-01,0,8,0,0,0
2019-02-01,0,0,0,0,9
2019-03-01,0,10,0,0,0
2019-04-01,0,9,0,8,7
2019-05-01,0,12,0,7,0
2019-06-01,0,9,0,8,0
2019-07-01,0,9,0,0,0
2019-08-01,0,12,0,10,0
2019-09-01,0,9,0,10,0
2019-10-01,0,6,0,0,0
2019-11-01,0,10,0,7,0
2019-12-01,0,12,0,0,0
2020-01-01,0,14,0,0,0
2020-02-01,0,11,0,0,0
2020-03-01,0,12,0,7,0
2020-04-01,0,18,6,9,8
2020-05-01,0,15,0,9,8
2020-06-01,0,16,0,8,0
2020-07-01,0,13,0,13,0
2020-08-01,0,7,0,6,7
2020-09-01,0,0,0,8,0
2020-10-01,0,13,0,7,0
2020-11-01,0,21,0,0,0
2020-12-01,0,11,0,0,0
2021-01-01,0,12,0,7,7
2021-02-01,0,17,0,0,8
2021-03-01,0,21,0,7,0
2021-04-01,0,18,0,21,0
2021-05-01,0,17,0,25,11
2021-06-01,0,12,0,11,6
2021-07-01,0,11,0,0,0
2021-08-01,0,14,0,10,9
2021-09-01,0,20,0,0,0
2021-10-01,0,30,0,0,7
2021-11-01,0,30,0,9,7
2021-12-01,0,41,0,7,7
2022-01-01,0,47,0,9,0
2022-02-01,0,25,0,10,13
2022-03-01,0,48,7,11,19
2022-04-01,0,36,0,20,15
2022-05-01,0,33,0,16,11
2022-06-01,0,21,0,18,6
2022-07-01,0,20,0,13,7
2022-08-01,0,23,0,11,0
2022-09-01,0,23,0,12,8
2022-10-01,0,41,0,8,8
2022-11-01,0,29,0,13,8
2022-12-01,0,26,0,11,6
2023-01-01,0,31,0,0,5
2023-02-01,0,38,0,8,6
2023-03-01,0,40,4,9,9
2023-04-01,0,43,9,25,28
2023-05-01,0,44,5,22,14
2023-06-01,0,28,0,18,7
2023-07-01,0,22,0,16,0
2023-08-01,0,22,0,8,0
2023-09-01,0,35,0,11,6
2023-10-01,0,36,0,10,12
2023-11-01,0,31,0,10,6
2023-12-01,0,34,0,11,9
2024-01-01,0,28,0,14,8
2024-02-01,0,31,0,7,13
2024-03-01,0,38,0,11,18
2024-04-01,0,36,7,25,23
2024-05-01,0,33,0,13,15
2024-06-01,0,22,0,15,0
2024-07-01,0,27,0,11,0
2024-08-01,0,37,0,13,0
2024-09-01,0,44,0,16,0
2024-10-01,0,48,7,7,14
2024-11-01,0,55,0,13,9
2024-12-01,0,49,0,9,7
2025-01-01,0,37,0,0,14
2025-02-01,0,42,0,7,9
2025-03-01,0,39,0,11,21
2025-04-01,0,48,0,13,17
2025-05-01,0,40,0,12,15
2025-06-01,0,25,0,11,0
2025-07-01,0,44,0,12,0
2025-08-01,0,47,0,8,0
2025-09-01,0,47,0,8,11
2025-10-01,0,61,0,11,15
2025-11-01,2,58,1,3,12
