date,Đình Bình Hòa,Chùa Dâu,Chùa Phật Tích,Đình làng Đình Bảng,Chùa Bút Tháp
2011-03-01,6,7,7,0,6
2011-04-01,0,0,0,0,0
2011-05-01,0,0,8,0,0
2011-06-01,5,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,5,0,0,0
2011-09-01,6,5,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,6,6,0,0
2012-02-01,0,13,17,0,7
2012-03-01,0,6,6,0,4
2012-04-01,5,7,7,0,5
2012-05-01,0,4,0,0,0
2012-06-01,0,5,0,0,0
2012-07-01,0,0,4,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,4,6,0,0
2012-10-01,3,5,6,0,0
2012-11-01,4,4,4,0,0
2012-12-01,0,4,0,0,0
2013-01-01,0,4,6,0,4
2013-02-01,4,18,17,0,6
2013-03-01,4,9,9,0,9
2013-04-01,3,5,6,0,0
2013-05-01,5,5,3,0,4
2013-06-01,4,7,4,0,0
2013-07-01,0,4,0,0,0
2013-08-01,3,4,4,0,0
2013-09-01,6,4,3,0,3
2013-10-01,7,4,5,0,5
2013-11-01,0,4,6,0,4
2013-12-01,3,6,4,0,0
2014-01-01,3,4,8,0,4
2014-02-01,3,21,35,0,10
2014-03-01,4,11,11,0,5
2014-04-01,3,7,7,0,6
2014-05-01,4,7,5,0,3
2014-06-01,4,4,4,0,3
2014-07-01,3,3,3,0,0
2014-08-01,4,3,3,0,4
2014-09-01,5,6,4,0,3
2014-10-01,4,6,6,0,4
2014-11-01,5,5,10,0,6
2014-12-01,5,5,10,0,2
2015-01-01,5,7,7,0,4
2015-02-01,5,19,28,0,9
2015-03-01,6,12,18,0,10
2015-04-01,5,7,6,0,3
2015-05-01,5,7,6,0,3
2015-06-01,3,5,3,0,3
2015-07-01,4,4,4,0,0
2015-08-01,5,2,4,0,5
2015-09-01,7,6,6,0,3
2015-10-01,6,5,4,0,4
2015-11-01,5,8,9,0,7
2015-12-01,6,8,8,0,4
2016-01-01,4,5,4,0,4
2016-02-01,4,23,35,0,11
2016-03-01,6,13,14,0,7
2016-04-01,14,7,7,0,5
2016-05-01,6,9,5,0,3
2016-06-01,4,5,4,0,2
2016-07-01,3,5,4,0,2
2016-08-01,5,9,5,0,3
2016-09-01,6,8,6,0,3
2016-10-01,8,7,6,0,2
2016-11-01,6,8,9,0,4
2016-12-01,11,6,7,0,4
2017-01-01,7,9,12,0,5
2017-02-01,8,27,39,0,15
2017-03-01,7,10,11,0,5
2017-04-01,10,10,5,0,4
2017-05-01,7,7,6,0,2
2017-06-01,8,3,5,0,3
2017-07-01,7,3,6,0,2
2017-08-01,8,4,4,0,3
2017-09-01,6,6,7,0,5
2017-10-01,8,7,8,0,4
2017-11-01,8,7,6,0,4
2017-12-01,10,7,6,0,3
2018-01-01,10,7,8,0,3
2018-02-01,8,25,46,0,10
2018-03-01,14,16,20,0,8
2018-04-01,10,9,9,0,6
2018-05-01,10,7,7,0,3
2018-06-01,7,6,4,0,2
2018-07-01,9,5,4,0,0
2018-08-01,9,7,3,0,3
2018-09-01,10,5,5,0,3
2018-10-01,11,6,6,0,4
2018-11-01,10,7,9,0,3
2018-12-01,10,5,7,0,2
2019-01-01,9,8,8,0,3
2019-02-01,8,41,46,0,14
2019-03-01,11,13,15,0,7
2019-04-01,9,10,10,0,4
2019-05-01,10,9,6,0,2
2019-06-01,11,6,6,0,2
2019-07-01,11,4,5,0,0
2019-08-01,12,4,7,0,4
2019-09-01,13,5,8,0,2
2019-10-01,13,5,6,0,4
2019-11-01,13,6,7,0,2
2019-12-01,14,4,8,0,3
2020-01-01,10,11,16,0,3
2020-02-01,13,10,11,0,4
2020-03-01,14,4,10,0,2
2020-04-01,14,7,6,2,2
2020-05-01,17,10,8,1,4
2020-06-01,17,6,6,0,2
2020-07-01,15,5,5,0,0
2020-08-01,12,4,5,0,0
2020-09-01,15,6,5,0,3
2020-10-01,22,4,7,0,4
2020-11-01,17,6,10,0,4
2020-12-01,15,7,7,0,4
2021-01-01,18,7,6,0,3
2021-02-01,17,9,12,0,3
2021-03-01,17,10,14,0,5
2021-04-01,21,9,10,0,4
2021-05-01,22,6,4,0,3
2021-06-01,12,5,3,0,0
2021-07-01,13,2,4,0,2
2021-08-01,6,4,2,1,2
2021-09-01,12,5,4,0,3
2021-10-01,20,8,4,0,5
2021-11-01,29,4,6,0,3
2021-12-01,34,5,8,0,5
2022-01-01,29,9,8,0,4
2022-02-01,18,18,18,0,10
2022-03-01,53,12,12,2,10
2022-04-01,36,11,11,3,6
2022-05-01,28,10,8,3,3
2022-06-01,15,8,5,0,1
2022-07-01,14,7,6,0,2
2022-08-01,14,9,8,0,2
2022-09-01,15,7,6,0,4
2022-10-01,32,7,8,1,7
2022-11-01,20,6,8,0,3
2022-12-01,25,7,10,1,4
2023-01-01,13,17,29,0,10
2023-02-01,20,22,31,2,13
2023-03-01,31,14,16,2,9
2023-04-01,28,10,14,2,7
2023-05-01,20,9,8,1,5
2023-06-01,18,8,6,1,3
2023-07-01,14,5,7,0,2
2023-08-01,10,6,7,0,2
2023-09-01,15,5,10,0,3
2023-10-01,17,8,14,1,7
2023-11-01,17,7,11,0,6
2023-12-01,20,8,12,1,5
2024-01-01,16,7,10,0,5
2024-02-01,15,40,53,0,17
2024-03-01,23,18,21,3,11
2024-04-01,26,11,12,2,7
2024-05-01,28,9,8,0,4
2024-06-01,18,7,5,0,2
2024-07-01,15,14,5,0,2
2024-08-01,16,7,6,0,2
2024-09-01,17,8,6,2,3
2024-10-01,22,9,9,2,7
2024-11-01,23,8,12,2,7
2024-12-01,28,8,9,2,4
2025-01-01,19,9,17,0,5
2025-02-01,20,38,33,3,23
2025-03-01,25,21,19,2,8
2025-04-01,24,13,10,2,5
2025-05-01,21,17,12,0,5
2025-06-01,19,6,7,0,2
2025-07-01,23,7,5,0,2
2025-08-01,22,6,7,0,4
2025-09-01,18,8,9,2,5
2025-10-01,31,10,8,0,8
2025-11-01,44,12,12,1,8
