date,Làng lụa Vạn Phúc,Chùa Trấn Quốc,Cầu Long Biên,Bảo tàng Mỹ thuật Việt Nam,Làng Văn hóa - Du lịch các dân tộc Việt Nam
2011-01-01,0,4,5,0,0
2011-02-01,0,9,8,0,0
2011-03-01,0,0,7,0,0
2011-04-01,0,3,17,0,0
2011-05-01,0,0,5,0,0
2011-06-01,0,0,6,3,0
2011-07-01,0,0,6,0,0
2011-08-01,0,0,6,0,0
2011-09-01,0,0,11,0,0
2011-10-01,2,3,10,0,0
2011-11-01,0,3,5,0,0
2011-12-01,0,0,7,0,0
2012-01-01,0,5,4,0,0
2012-02-01,0,5,7,0,0
2012-03-01,0,3,9,2,0
2012-04-01,2,3,11,3,0
2012-05-01,2,2,8,0,0
2012-06-01,0,2,5,0,0
2012-07-01,0,3,7,0,0
2012-08-01,2,2,7,0,0
2012-09-01,2,2,8,0,0
2012-10-01,3,4,53,2,0
2012-11-01,0,3,17,3,0
2012-12-01,2,2,9,0,0
2013-01-01,2,3,8,0,0
2013-02-01,0,12,4,0,0
2013-03-01,3,5,8,2,0
2013-04-01,0,5,14,0,0
2013-05-01,2,5,8,0,0
2013-06-01,2,3,7,0,0
2013-07-01,2,4,7,0,0
2013-08-01,0,4,6,0,0
2013-09-01,2,4,10,0,0
2013-10-01,2,3,11,0,0
2013-11-01,0,7,10,2,0
2013-12-01,2,3,13,0,1
2014-01-01,0,4,9,0,0
2014-02-01,3,13,40,2,0
2014-03-01,2,4,24,0,0
2014-04-01,2,3,22,0,2
2014-05-01,2,3,12,0,0
2014-06-01,2,3,8,0,0
2014-07-01,0,2,8,0,0
2014-08-01,1,4,11,0,0
2014-09-01,2,4,16,0,0
2014-10-01,2,5,15,0,0
2014-11-01,3,5,12,0,0
2014-12-01,2,4,15,0,0
2015-01-01,0,4,12,0,0
2015-02-01,0,8,7,0,0
2015-03-01,2,6,14,0,2
2015-04-01,0,3,22,0,1
2015-05-01,1,4,13,1,0
2015-06-01,0,2,11,0,0
2015-07-01,1,2,14,1,0
2015-08-01,2,4,12,1,0
2015-09-01,1,4,10,1,0
2015-10-01,2,3,12,2,0
2015-11-01,2,4,13,2,1
2015-12-01,2,5,12,0,0
2016-01-01,1,3,9,0,0
2016-02-01,1,9,9,0,0
2016-03-01,1,3,18,1,1
2016-04-01,1,3,24,0,1
2016-05-01,1,3,10,0,0
2016-06-01,0,2,7,0,1
2016-07-01,0,2,10,0,0
2016-08-01,1,4,9,0,0
2016-09-01,2,3,11,1,1
2016-10-01,2,3,14,0,0
2016-11-01,2,8,15,0,0
2016-12-01,2,5,13,0,0
2017-01-01,1,5,9,0,0
2017-02-01,2,13,12,0,0
2017-03-01,2,5,19,1,0
2017-04-01,0,4,38,0,1
2017-05-01,1,4,14,1,0
2017-06-01,0,2,9,0,0
2017-07-01,0,5,11,1,0
2017-08-01,1,4,13,0,0
2017-09-01,2,4,15,2,0
2017-10-01,2,5,15,2,0
2017-11-01,2,5,39,1,0
2017-12-01,0,4,18,0,1
2018-01-01,2,5,17,0,0
2018-02-01,0,17,9,0,0
2018-03-01,2,8,23,1,2
2018-04-01,2,5,47,1,2
2018-05-01,2,5,17,0,0
2018-06-01,1,4,11,0,0
2018-07-01,2,4,14,0,1
2018-08-01,0,4,14,0,0
2018-09-01,2,4,14,1,0
2018-10-01,2,6,19,3,0
2018-11-01,26,6,23,2,0
2018-12-01,4,5,17,1,0
2019-01-01,3,4,24,0,0
2019-02-01,3,19,16,0,2
2019-03-01,2,7,27,1,0
2019-04-01,4,6,49,1,1
2019-05-01,3,5,22,1,0
2019-06-01,3,5,14,2,0
2019-07-01,3,5,16,0,0
2019-08-01,2,6,16,1,0
2019-09-01,5,6,22,1,0
2019-10-01,3,7,20,2,0
2019-11-01,3,7,19,2,0
2019-12-01,3,5,18,1,0
2020-01-01,2,10,22,0,0
2020-02-01,2,7,15,1,0
2020-03-01,2,2,13,0,0
2020-04-01,2,5,24,0,0
2020-05-01,3,4,24,2,1
2020-06-01,2,5,27,2,0
2020-07-01,3,4,19,1,0
2020-08-01,1,4,16,1,0
2020-09-01,2,5,21,2,0
2020-10-01,2,6,19,2,0
2020-11-01,3,7,26,2,0
2020-12-01,4,4,25,2,0
2021-01-01,2,4,27,2,0
2021-02-01,2,8,14,2,0
2021-03-01,2,5,20,2,0
2021-04-01,2,7,27,9,1
2021-05-01,1,3,18,2,0
2021-06-01,1,2,17,1,0
2021-07-01,0,2,12,1,0
2021-08-01,0,2,10,3,0
2021-09-01,2,1,12,2,0
2021-10-01,3,4,18,2,0
2021-11-01,3,4,18,3,0
2021-12-01,3,3,21,4,0
2022-01-01,3,4,24,3,1
2022-02-01,2,10,20,3,0
2022-03-01,5,6,26,4,0
2022-04-01,4,8,26,8,1
2022-05-01,3,5,26,6,0
2022-06-01,1,5,23,6,0
2022-07-01,2,6,21,5,0
2022-08-01,3,7,18,5,1
2022-09-01,4,6,26,5,0
2022-10-01,3,8,22,6,0
2022-11-01,4,7,21,6,1
2022-12-01,4,6,22,3,1
2023-01-01,2,13,25,4,0
2023-02-01,4,15,25,5,1
2023-03-01,5,9,22,7,1
2023-04-01,4,9,22,4,1
2023-05-01,3,6,20,5,1
2023-06-01,2,6,19,4,0
2023-07-01,2,6,19,4,0
2023-08-01,2,7,19,4,0
2023-09-01,7,7,24,5,0
2023-10-01,8,7,26,4,0
2023-11-01,6,7,25,5,1
2023-12-01,4,7,31,3,1
2024-01-01,5,7,41,4,0
2024-02-01,4,20,23,5,0
2024-03-01,6,12,27,3,1
2024-04-01,5,9,30,4,1
2024-05-01,3,5,31,3,1
2024-06-01,1,5,21,4,0
2024-07-01,3,5,23,3,0
2024-08-01,2,6,27,4,0
2024-09-01,5,7,97,4,0
2024-10-01,6,7,35,5,0
2024-11-01,7,9,33,5,1
2024-12-01,5,9,26,5,1
2025-01-01,5,9,19,5,0
2025-02-01,5,16,18,3,0
2025-03-01,6,7,25,5,0
2025-04-01,5,8,23,4,1
2025-05-01,4,11,25,4,0
2025-06-01,2,9,20,4,0
2025-07-01,2,12,25,4,0
2025-08-01,3,12,34,6,0
2025-09-01,5,11,28,6,0
2025-10-01,6,11,32,5,0
2025-11-01,5,14,33,5,1
