date,Hồ Phú Ninh,Du lịch sinh thái Thuận Tình,Bãi biển Tam Thanh,Cột cờ Lũng Cú,Hang Phương Thiện
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,32,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,13,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,17,0
2013-04-01,0,0,0,17,0
2013-05-01,0,0,0,16,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,13,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,14,0
2013-11-01,0,0,0,0,0
2013-12-01,10,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,10,0,0,12,0
2014-03-01,26,0,0,0,0
2014-04-01,12,0,0,11,0
2014-05-01,12,0,0,10,0
2014-06-01,0,0,0,14,0
2014-07-01,0,0,0,0,0
2014-08-01,15,0,0,0,0
2014-09-01,14,0,0,12,0
2014-10-01,0,0,0,11,0
2014-11-01,0,0,0,16,0
2014-12-01,0,0,0,9,0
2015-01-01,0,0,0,9,0
2015-02-01,14,0,0,0,0
2015-03-01,10,0,0,0,0
2015-04-01,15,0,0,14,0
2015-05-01,0,0,0,11,0
2015-06-01,16,0,0,13,0
2015-07-01,9,0,0,7,0
2015-08-01,20,0,0,0,0
2015-09-01,0,0,0,18,0
2015-10-01,12,0,0,24,0
2015-11-01,13,0,0,26,0
2015-12-01,0,0,0,12,0
2016-01-01,14,0,0,17,0
2016-02-01,16,0,0,21,0
2016-03-01,19,0,0,16,0
2016-04-01,24,0,0,17,0
2016-05-01,19,0,0,8,0
2016-06-01,14,0,0,10,0
2016-07-01,22,0,0,14,0
2016-08-01,17,0,0,20,0
2016-09-01,19,0,0,22,0
2016-10-01,17,0,0,39,0
2016-11-01,15,0,0,24,0
2016-12-01,32,9,0,14,0
2017-01-01,20,0,0,14,0
2017-02-01,20,0,0,21,0
2017-03-01,30,0,0,16,0
2017-04-01,34,0,0,12,0
2017-05-01,22,0,0,22,0
2017-06-01,21,0,0,8,0
2017-07-01,23,0,0,0,0
2017-08-01,24,0,0,10,0
2017-09-01,17,0,0,16,0
2017-10-01,18,0,8,20,0
2017-11-01,28,0,0,29,0
2017-12-01,18,0,0,28,0
2018-01-01,20,0,0,20,0
2018-02-01,33,0,0,11,0
2018-03-01,38,0,0,20,0
2018-04-01,37,0,0,17,0
2018-05-01,33,0,0,13,0
2018-06-01,30,0,0,13,0
2018-07-01,27,0,0,19,0
2018-08-01,23,0,0,18,0
2018-09-01,31,0,0,17,0
2018-10-01,32,0,0,29,0
2018-11-01,27,0,0,22,0
2018-12-01,58,0,0,26,0
2019-01-01,30,0,0,17,0
2019-02-01,46,0,0,30,0
2019-03-01,36,0,0,23,0
2019-04-01,45,0,0,27,0
2019-05-01,30,0,0,23,0
2019-06-01,47,0,0,19,0
2019-07-01,40,0,0,15,0
2019-08-01,46,0,0,12,0
2019-09-01,40,0,0,17,0
2019-10-01,35,0,0,46,0
2019-11-01,36,0,0,35,0
2019-12-01,27,0,0,25,0
2020-01-01,34,0,0,12,0
2020-02-01,83,0,0,13,0
2020-03-01,38,0,0,22,0
2020-04-01,47,0,0,11,0
2020-05-01,57,0,0,29,0
2020-06-01,54,0,0,23,0
2020-07-01,57,0,0,19,0
2020-08-01,33,0,0,11,0
2020-09-01,47,0,0,20,0
2020-10-01,45,0,0,38,0
2020-11-01,35,0,0,58,0
2020-12-01,44,0,0,36,0
2021-01-01,45,0,0,23,0
2021-02-01,46,0,0,16,0
2021-03-01,59,0,0,33,0
2021-04-01,65,0,0,32,0
2021-05-01,41,0,0,19,0
2021-06-01,35,0,0,10,0
2021-07-01,30,0,0,12,0
2021-08-01,18,0,0,22,0
2021-09-01,19,0,0,37,0
2021-10-01,31,0,0,17,0
2021-11-01,32,0,0,14,0
2021-12-01,28,0,0,46,0
2022-01-01,35,0,0,31,0
2022-02-01,61,0,0,52,0
2022-03-01,63,0,0,43,0
2022-04-01,64,0,0,44,0
2022-05-01,52,4,5,33,0
2022-06-01,59,0,0,24,0
2022-07-01,53,0,5,26,0
2022-08-01,51,0,0,32,0
2022-09-01,50,0,0,43,0
2022-10-01,47,0,0,58,0
2022-11-01,45,0,0,63,0
2022-12-01,37,0,0,43,0
2023-01-01,31,0,0,35,0
2023-02-01,96,0,0,63,0
2023-03-01,54,0,0,63,0
2023-04-01,59,0,0,58,0
2023-05-01,56,0,0,29,0
2023-06-01,61,0,0,27,0
2023-07-01,60,0,0,41,0
2023-08-01,49,0,0,32,0
2023-09-01,50,0,0,44,0
2023-10-01,44,0,0,58,0
2023-11-01,44,0,0,56,0
2023-12-01,51,0,0,57,0
2024-01-01,40,0,0,65,0
2024-02-01,53,0,0,48,0
2024-03-01,61,0,0,54,0
2024-04-01,77,0,0,53,0
2024-05-01,53,0,0,29,0
2024-06-01,50,0,0,26,0
2024-07-01,52,0,0,30,0
2024-08-01,50,0,0,31,0
2024-09-01,47,0,0,66,0
2024-10-01,63,0,0,49,0
2024-11-01,57,0,0,47,0
2024-12-01,65,0,8,50,0
2025-01-01,37,0,0,40,0
2025-02-01,52,0,0,51,0
2025-03-01,61,0,0,47,0
2025-04-01,58,6,0,52,0
2025-05-01,50,0,0,35,0
2025-06-01,54,0,0,23,0
2025-07-01,100,0,0,27,0
2025-08-01,96,0,0,32,0
2025-09-01,89,0,0,88,0
2025-10-01,96,0,0,75,0
2025-11-01,90,1,0,90,1
