date,Sơn Trà,Lễ hội Cá Ông,Bảo tàng Hồ Chí Minh Thành phố Đà Nẵng,Bảo tàng Hồ Chí Minh Thành phố Hà Nội,Bến Ninh Kiều
2011-01-01,12,0,0,0,3
2011-02-01,12,0,0,0,0
2011-03-01,17,0,0,0,0
2011-04-01,18,0,0,0,0
2011-05-01,20,0,0,0,0
2011-06-01,15,0,0,0,0
2011-07-01,14,0,0,0,0
2011-08-01,16,0,0,0,0
2011-09-01,13,0,0,0,0
2011-10-01,12,0,0,0,2
2011-11-01,12,0,0,0,2
2011-12-01,11,0,0,0,0
2012-01-01,8,0,0,0,0
2012-02-01,13,0,0,0,3
2012-03-01,13,0,0,0,0
2012-04-01,14,0,0,0,2
2012-05-01,14,0,0,0,0
2012-06-01,16,0,0,0,1
2012-07-01,15,0,0,0,2
2012-08-01,12,0,0,0,2
2012-09-01,12,0,0,0,0
2012-10-01,12,0,0,0,1
2012-11-01,12,0,0,0,2
2012-12-01,11,0,0,0,1
2013-01-01,11,0,0,0,2
2013-02-01,12,0,0,0,3
2013-03-01,15,0,0,0,3
2013-04-01,18,0,0,0,2
2013-05-01,18,0,0,0,2
2013-06-01,19,0,0,0,2
2013-07-01,19,0,0,0,3
2013-08-01,21,0,0,0,2
2013-09-01,17,0,0,0,2
2013-10-01,15,0,0,0,2
2013-11-01,16,0,0,0,2
2013-12-01,15,0,0,0,3
2014-01-01,12,0,0,0,3
2014-02-01,17,0,0,0,4
2014-03-01,18,0,1,0,3
2014-04-01,20,0,0,0,3
2014-05-01,17,0,0,0,2
2014-06-01,20,0,0,0,2
2014-07-01,22,0,0,0,3
2014-08-01,21,0,0,0,3
2014-09-01,19,0,0,0,3
2014-10-01,18,0,0,0,4
2014-11-01,18,0,0,0,4
2014-12-01,17,0,0,0,3
2015-01-01,18,0,0,0,4
2015-02-01,17,0,0,0,5
2015-03-01,26,0,0,0,17
2015-04-01,27,0,0,0,5
2015-05-01,26,0,0,0,4
2015-06-01,25,0,0,0,4
2015-07-01,27,0,0,0,4
2015-08-01,25,0,0,0,4
2015-09-01,26,0,0,0,4
2015-10-01,23,0,0,0,3
2015-11-01,24,0,0,0,4
2015-12-01,26,0,0,0,4
2016-01-01,20,0,0,0,5
2016-02-01,26,0,0,0,7
2016-03-01,29,1,0,0,4
2016-04-01,34,1,0,0,6
2016-05-01,34,0,0,0,5
2016-06-01,35,0,0,0,5
2016-07-01,34,0,0,0,5
2016-08-01,28,0,0,0,4
2016-09-01,28,0,0,0,6
2016-10-01,33,0,0,0,5
2016-11-01,31,0,0,0,6
2016-12-01,28,0,0,0,4
2017-01-01,26,0,0,0,6
2017-02-01,39,0,0,0,11
2017-03-01,45,0,0,0,6
2017-04-01,45,0,0,0,7
2017-05-01,52,0,0,0,6
2017-06-01,58,0,0,0,6
2017-07-01,54,0,0,0,7
2017-08-01,45,0,0,0,5
2017-09-01,45,0,0,0,7
2017-10-01,44,0,0,0,5
2017-11-01,42,0,0,0,5
2017-12-01,41,0,0,0,5
2018-01-01,39,0,0,0,7
2018-02-01,39,0,0,0,11
2018-03-01,58,0,0,0,8
2018-04-01,55,0,0,0,10
2018-05-01,54,0,0,0,6
2018-06-01,57,0,0,0,7
2018-07-01,62,0,0,0,8
2018-08-01,56,0,0,0,8
2018-09-01,54,0,0,0,7
2018-10-01,51,0,0,0,7
2018-11-01,49,0,0,0,6
2018-12-01,45,0,0,0,7
2019-01-01,40,0,0,0,7
2019-02-01,51,0,0,0,14
2019-03-01,53,0,0,0,8
2019-04-01,61,0,0,0,12
2019-05-01,65,0,0,0,8
2019-06-01,66,0,0,0,9
2019-07-01,65,0,0,0,8
2019-08-01,62,0,0,0,9
2019-09-01,54,0,0,0,8
2019-10-01,55,0,0,0,7
2019-11-01,47,0,0,0,7
2019-12-01,43,0,0,0,6
2020-01-01,43,0,0,0,10
2020-02-01,46,0,0,0,8
2020-03-01,45,0,0,0,5
2020-04-01,44,0,0,0,4
2020-05-01,54,0,0,0,9
2020-06-01,64,0,0,0,8
2020-07-01,69,0,0,0,9
2020-08-01,39,0,0,0,5
2020-09-01,42,0,0,0,7
2020-10-01,41,0,0,0,6
2020-11-01,43,0,0,0,9
2020-12-01,46,1,0,0,6
2021-01-01,82,3,0,0,7
2021-02-01,48,0,0,0,8
2021-03-01,59,0,0,0,11
2021-04-01,65,0,0,0,10
2021-05-01,47,0,0,0,4
2021-06-01,37,0,0,0,2
2021-07-01,38,0,0,0,2
2021-08-01,41,0,0,0,1
2021-09-01,39,0,0,0,2
2021-10-01,42,0,0,0,3
2021-11-01,48,1,0,0,3
2021-12-01,51,1,0,0,3
2022-01-01,54,1,0,0,5
2022-02-01,60,2,0,0,11
2022-03-01,62,1,0,0,12
2022-04-01,77,1,0,0,13
2022-05-01,67,1,0,0,10
2022-06-01,71,0,0,0,10
2022-07-01,77,0,0,0,11
2022-08-01,68,0,0,0,10
2022-09-01,65,0,0,0,9
2022-10-01,56,0,0,0,9
2022-11-01,56,0,0,0,7
2022-12-01,86,1,0,0,7
2023-01-01,57,0,0,0,10
2023-02-01,71,0,0,0,12
2023-03-01,76,1,0,0,13
2023-04-01,74,1,0,0,11
2023-05-01,84,0,0,0,8
2023-06-01,82,0,0,0,10
2023-07-01,78,0,0,0,9
2023-08-01,71,0,0,0,9
2023-09-01,62,0,0,0,8
2023-10-01,63,1,0,0,8
2023-11-01,57,1,0,0,7
2023-12-01,59,1,0,0,7
2024-01-01,58,1,0,0,6
2024-02-01,62,1,0,0,10
2024-03-01,75,1,0,0,8
2024-04-01,72,1,0,0,9
2024-05-01,73,1,0,0,7
2024-06-01,79,0,0,0,6
2024-07-01,78,0,0,0,7
2024-08-01,76,0,0,0,7
2024-09-01,59,0,0,0,11
2024-10-01,67,1,0,0,9
2024-11-01,66,1,0,0,7
2024-12-01,64,1,0,0,7
2025-01-01,59,1,0,0,7
2025-02-01,70,1,0,0,8
2025-03-01,74,1,0,0,7
2025-04-01,72,1,0,0,8
2025-05-01,79,1,0,0,6
2025-06-01,74,1,0,0,6
2025-07-01,100,0,0,0,8
2025-08-01,86,0,0,1,7
2025-09-01,73,1,0,1,5
2025-10-01,68,1,0,0,7
2025-11-01,65,1,0,0,7
