date,anh hùng liệt sỹ Kim Đồng,Đền Kỳ Sầm,Làng rèn Phúc Sen,Pắc Bó,rừng Trần Hưng Đạo
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,0,0,0
2011-05-01,0,0,0,100,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,40,0
2012-10-01,0,0,0,62,0
2012-11-01,0,0,0,43,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,47,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,37,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,46,0
2013-10-01,0,0,0,60,29
2013-11-01,0,0,0,33,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,34,0
2014-04-01,0,0,0,46,0
2014-05-01,0,0,0,42,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,29,0
2014-09-01,0,0,0,57,0
2014-10-01,0,0,0,46,0
2014-11-01,0,0,0,41,32
2014-12-01,0,0,0,0,47
2015-01-01,0,0,0,62,0
2015-02-01,0,0,0,42,0
2015-03-01,0,0,0,41,0
2015-04-01,0,0,0,50,0
2015-05-01,0,0,0,69,45
2015-06-01,0,0,0,29,0
2015-07-01,0,0,0,41,0
2015-08-01,0,0,0,41,0
2015-09-01,0,0,0,40,27
2015-10-01,0,0,0,45,0
2015-11-01,0,0,0,33,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,38,0
2016-02-01,0,0,0,34,0
2016-03-01,0,0,0,38,0
2016-04-01,0,0,0,42,0
2016-05-01,0,0,0,32,0
2016-06-01,0,0,0,27,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,29,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,23
2016-11-01,0,0,0,35,0
2016-12-01,0,0,23,21,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,0,36,0
2017-03-01,0,0,0,32,0
2017-04-01,30,0,0,50,0
2017-05-01,0,0,0,54,0
2017-06-01,0,0,0,0,0
2017-07-01,0,0,0,0,0
2017-08-01,0,0,0,0,0
2017-09-01,0,0,0,27,0
2017-10-01,0,0,0,27,0
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,23,0
2018-01-01,0,0,0,32,0
2018-02-01,0,0,0,0,0
2018-03-01,0,0,0,24,0
2018-04-01,0,0,0,26,28
2018-05-01,0,0,0,29,0
2018-06-01,0,0,0,0,0
2018-07-01,0,0,0,0,0
2018-08-01,0,0,0,27,0
2018-09-01,0,0,0,0,0
2018-10-01,21,0,0,23,0
2018-11-01,0,0,0,25,0
2018-12-01,0,0,0,0,0
2019-01-01,0,0,0,22,0
2019-02-01,0,0,0,27,0
2019-03-01,0,0,0,27,0
2019-04-01,0,0,0,48,0
2019-05-01,0,0,0,45,20
2019-06-01,0,0,0,0,0
2019-07-01,0,0,0,0,0
2019-08-01,0,0,0,23,0
2019-09-01,0,0,0,20,0
2019-10-01,0,0,0,28,0
2019-11-01,0,0,0,25,0
2019-12-01,0,0,0,17,0
2020-01-01,0,0,0,24,0
2020-02-01,0,0,0,35,0
2020-03-01,0,0,19,72,0
2020-04-01,0,0,20,53,0
2020-05-01,0,0,0,52,28
2020-06-01,0,0,0,36,0
2020-07-01,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-09-01,0,0,0,0,0
2020-10-01,0,0,0,18,0
2020-11-01,0,0,0,0,0
2020-12-01,0,0,0,0,27
2021-01-01,0,0,0,20,0
2021-02-01,0,0,0,42,22
2021-03-01,0,0,0,43,29
2021-04-01,0,0,0,32,19
2021-05-01,0,0,0,30,0
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-10-01,0,0,0,0,0
2021-11-01,0,0,0,0,0
2021-12-01,0,0,0,0,0
2022-01-01,0,0,0,27,36
2022-02-01,0,0,0,77,19
2022-03-01,0,0,0,53,0
2022-04-01,0,0,0,55,17
2022-05-01,0,0,0,25,15
2022-06-01,0,0,0,20,0
2022-07-01,0,0,0,19,0
2022-08-01,0,0,0,15,0
2022-09-01,0,0,0,22,0
2022-10-01,0,0,0,27,0
2022-11-01,0,0,0,26,0
2022-12-01,0,0,0,21,27
2023-01-01,0,0,0,25,0
2023-02-01,0,18,0,90,22
2023-03-01,0,0,0,59,21
2023-04-01,0,0,0,44,18
2023-05-01,0,0,0,42,23
2023-06-01,0,0,0,15,0
2023-07-01,0,0,0,24,0
2023-08-01,0,0,0,22,0
2023-09-01,0,0,0,24,17
2023-10-01,0,0,0,40,0
2023-11-01,0,0,0,34,0
2023-12-01,0,0,0,29,34
2024-01-01,0,0,0,26,16
2024-02-01,0,0,0,0,0
2024-03-01,0,27,0,50,30
2024-04-01,0,0,0,30,22
2024-05-01,0,0,0,30,20
2024-06-01,0,0,0,24,0
2024-07-01,0,0,0,0,0
2024-08-01,0,0,0,32,19
2024-09-01,0,0,0,0,0
2024-10-01,0,0,0,45,20
2024-11-01,0,0,0,60,35
2024-12-01,0,36,0,28,98
2025-01-01,0,0,0,0,0
2025-02-01,0,0,0,27,0
2025-03-01,0,0,0,41,0
2025-04-01,0,0,0,44,25
2025-05-01,0,0,0,24,24
2025-06-01,0,0,0,23,0
2025-07-01,0,0,0,0,0
2025-08-01,0,0,0,25,0
2025-09-01,0,0,0,56,0
2025-10-01,0,0,0,36,0
2025-11-01,0,3,0,32,8
