date,Làng hoa Sa Đéc,Thác Voi,Bãi biển Hồ Cốc,Thung Nai,Vàm Sát
2011-03-01,0,0,0,32,0
2011-04-01,0,0,0,84,0
2011-05-01,0,0,7,45,0
2011-06-01,0,0,0,35,0
2011-07-01,0,0,0,42,0
2011-08-01,0,0,0,54,0
2011-09-01,0,6,0,44,0
2011-10-01,0,0,0,37,0
2011-11-01,0,0,0,28,0
2011-12-01,0,0,0,24,0
2012-01-01,0,0,0,16,0
2012-02-01,0,0,0,39,0
2012-03-01,0,0,0,52,0
2012-04-01,0,5,0,73,0
2012-05-01,0,5,0,51,0
2012-06-01,0,0,0,55,0
2012-07-01,0,6,0,59,0
2012-08-01,0,5,0,56,0
2012-09-01,0,6,0,42,0
2012-10-01,0,5,0,33,0
2012-11-01,0,5,0,42,0
2012-12-01,0,5,0,33,0
2013-01-01,7,5,0,20,0
2013-02-01,0,0,0,30,0
2013-03-01,0,0,0,49,0
2013-04-01,0,6,0,84,5
2013-05-01,0,4,0,49,0
2013-06-01,0,4,0,41,0
2013-07-01,0,7,0,39,7
2013-08-01,0,7,0,41,4
2013-09-01,0,0,0,32,3
2013-10-01,0,5,0,34,0
2013-11-01,0,6,0,23,0
2013-12-01,5,8,0,22,0
2014-01-01,9,0,0,14,0
2014-02-01,3,6,0,34,0
2014-03-01,0,4,0,26,0
2014-04-01,0,7,0,59,5
2014-05-01,0,6,0,34,0
2014-06-01,0,5,0,28,0
2014-07-01,0,6,0,29,0
2014-08-01,0,9,0,40,3
2014-09-01,0,0,0,24,0
2014-10-01,0,4,0,27,0
2014-11-01,0,4,0,21,0
2014-12-01,4,6,0,18,0
2015-01-01,9,5,0,14,0
2015-02-01,15,7,0,16,5
2015-03-01,0,6,0,33,5
2015-04-01,0,11,0,57,3
2015-05-01,0,11,0,31,0
2015-06-01,0,7,0,29,4
2015-07-01,0,6,0,28,3
2015-08-01,3,9,0,27,3
2015-09-01,3,10,0,20,0
2015-10-01,0,10,0,25,3
2015-11-01,3,14,0,20,3
2015-12-01,7,8,0,19,3
2016-01-01,28,7,0,12,0
2016-02-01,14,9,0,25,0
2016-03-01,0,8,0,24,0
2016-04-01,4,9,0,46,0
2016-05-01,0,9,0,28,0
2016-06-01,2,11,0,22,0
2016-07-01,0,12,0,27,6
2016-08-01,2,12,3,25,3
2016-09-01,3,11,0,21,3
2016-10-01,2,11,0,25,3
2016-11-01,5,8,0,21,0
2016-12-01,14,12,0,18,3
2017-01-01,73,12,0,13,0
2017-02-01,8,17,3,33,5
2017-03-01,5,9,0,26,6
2017-04-01,4,14,3,38,6
2017-05-01,3,12,0,27,4
2017-06-01,0,15,4,28,3
2017-07-01,4,18,0,20,3
2017-08-01,3,18,2,27,4
2017-09-01,6,18,0,22,4
2017-10-01,4,9,0,16,6
2017-11-01,6,8,0,15,3
2017-12-01,15,12,0,14,4
2018-01-01,46,9,0,10,5
2018-02-01,56,14,4,23,5
2018-03-01,5,9,0,28,5
2018-04-01,6,13,3,37,8
2018-05-01,4,14,3,24,5
2018-06-01,3,12,0,18,6
2018-07-01,6,12,2,16,4
2018-08-01,3,12,0,17,3
2018-09-01,8,11,0,16,3
2018-10-01,6,9,0,14,4
2018-11-01,10,9,0,12,3
2018-12-01,24,9,0,11,5
2019-01-01,71,6,0,6,4
2019-02-01,20,11,0,29,5
2019-03-01,6,12,0,21,6
2019-04-01,8,13,3,28,9
2019-05-01,6,10,0,15,5
2019-06-01,6,15,3,14,5
2019-07-01,6,20,2,12,5
2019-08-01,5,10,0,12,7
2019-09-01,6,7,0,9,4
2019-10-01,7,8,0,8,4
2019-11-01,10,11,0,10,4
2019-12-01,41,9,0,9,3
2020-01-01,80,10,2,12,3
2020-02-01,10,11,0,10,3
2020-03-01,4,7,0,10,2
2020-04-01,3,7,0,10,2
2020-05-01,7,13,0,16,3
2020-06-01,9,17,2,13,5
2020-07-01,6,15,0,15,5
2020-08-01,5,8,0,7,3
2020-09-01,6,8,0,8,4
2020-10-01,6,7,0,9,5
2020-11-01,10,9,0,11,3
2020-12-01,20,7,0,10,3
2021-01-01,65,6,0,6,5
2021-02-01,26,8,0,9,4
2021-03-01,9,9,0,14,5
2021-04-01,8,12,3,23,7
2021-05-01,5,7,0,6,2
2021-06-01,3,3,0,5,0
2021-07-01,2,5,0,6,0
2021-08-01,2,4,0,2,0
2021-09-01,3,3,0,4,0
2021-10-01,2,7,0,4,2
2021-11-01,3,9,0,5,3
2021-12-01,8,8,0,7,3
2022-01-01,30,9,0,6,4
2022-02-01,18,11,0,12,5
2022-03-01,8,12,0,10,3
2022-04-01,8,16,0,23,6
2022-05-01,6,10,0,12,3
2022-06-01,6,17,2,9,4
2022-07-01,7,20,2,11,4
2022-08-01,5,11,2,13,4
2022-09-01,7,9,0,10,4
2022-10-01,7,7,0,9,3
2022-11-01,10,7,0,8,3
2022-12-01,24,8,0,5,3
2023-01-01,50,9,0,8,2
2023-02-01,10,9,0,18,3
2023-03-01,8,10,1,11,4
2023-04-01,8,14,0,13,6
2023-05-01,6,15,0,11,4
2023-06-01,3,17,0,11,4
2023-07-01,4,20,0,11,4
2023-08-01,5,9,0,10,6
2023-09-01,6,7,0,7,7
2023-10-01,7,7,0,7,4
2023-11-01,9,7,2,7,3
2023-12-01,42,7,0,6,3
2024-01-01,43,5,0,7,2
2024-02-01,15,10,0,14,9
2024-03-01,7,9,0,13,4
2024-04-01,5,15,0,16,6
2024-05-01,4,8,0,9,0
2024-06-01,3,12,0,6,5
2024-07-01,3,12,0,8,3
2024-08-01,3,11,0,9,5
2024-09-01,3,8,0,6,2
2024-10-01,7,3,0,5,3
2024-11-01,15,9,0,6,3
2024-12-01,20,7,0,4,3
2025-01-01,35,7,0,5,0
2025-02-01,9,9,0,14,4
2025-03-01,7,9,2,11,5
2025-04-01,6,7,0,13,4
2025-05-01,4,10,0,7,3
2025-06-01,3,8,0,6,4
2025-07-01,4,12,0,9,4
2025-08-01,5,8,0,9,3
2025-09-01,5,4,0,6,0
2025-10-01,7,8,0,4,3
2025-11-01,13,5,0,6,5
