date,Chùa Vẽ,Đền Nguyệt Hồ,Thác Ba Tia,Cánh Đồng Hoa Hướng Dương,Đồng Thông
2011-03-01,0,0,0,0,18
2011-04-01,0,0,0,0,18
2011-05-01,0,0,0,0,17
2011-06-01,0,0,0,0,16
2011-07-01,1,0,0,0,15
2011-08-01,0,0,0,0,17
2011-09-01,0,0,0,0,16
2011-10-01,0,0,0,0,16
2011-11-01,0,0,0,0,15
2011-12-01,0,0,0,0,14
2012-01-01,0,0,0,0,9
2012-02-01,0,0,0,0,13
2012-03-01,0,0,0,0,14
2012-04-01,0,0,0,0,14
2012-05-01,0,0,0,0,14
2012-06-01,0,0,0,0,14
2012-07-01,0,0,0,0,13
2012-08-01,0,0,0,0,15
2012-09-01,0,0,0,0,14
2012-10-01,0,0,0,0,14
2012-11-01,0,0,0,0,13
2012-12-01,0,0,0,0,15
2013-01-01,0,0,0,0,13
2013-02-01,0,0,0,0,10
2013-03-01,1,0,0,0,15
2013-04-01,1,0,0,0,16
2013-05-01,0,0,0,0,17
2013-06-01,0,0,0,0,16
2013-07-01,0,0,0,0,18
2013-08-01,0,0,0,0,19
2013-09-01,0,0,0,0,20
2013-10-01,1,0,0,0,20
2013-11-01,1,0,0,0,18
2013-12-01,1,0,0,0,18
2014-01-01,0,0,0,0,14
2014-02-01,0,0,0,0,15
2014-03-01,1,0,0,0,19
2014-04-01,1,0,0,0,18
2014-05-01,1,0,0,0,16
2014-06-01,1,0,0,0,16
2014-07-01,0,0,0,0,17
2014-08-01,1,0,0,0,17
2014-09-01,1,0,0,0,20
2014-10-01,1,0,0,0,20
2014-11-01,0,0,0,0,18
2014-12-01,1,0,0,1,19
2015-01-01,0,0,0,0,15
2015-02-01,0,0,0,0,13
2015-03-01,1,0,0,0,20
2015-04-01,1,0,0,1,21
2015-05-01,1,0,0,0,20
2015-06-01,0,0,0,0,20
2015-07-01,1,0,0,0,22
2015-08-01,0,0,0,0,24
2015-09-01,0,0,0,0,26
2015-10-01,1,0,0,0,24
2015-11-01,1,0,0,3,26
2015-12-01,1,0,0,2,29
2016-01-01,0,0,0,1,19
2016-02-01,1,0,0,0,18
2016-03-01,1,0,0,0,24
2016-04-01,1,0,0,0,25
2016-05-01,1,0,0,0,24
2016-06-01,0,0,0,0,23
2016-07-01,0,0,0,0,25
2016-08-01,0,0,0,0,27
2016-09-01,1,0,0,0,31
2016-10-01,1,0,0,1,27
2016-11-01,1,0,0,1,28
2016-12-01,1,0,0,2,31
2017-01-01,1,0,0,1,31
2017-02-01,1,0,0,1,36
2017-03-01,1,0,0,0,36
2017-04-01,1,0,0,0,36
2017-05-01,1,0,0,0,32
2017-06-01,1,0,0,0,28
2017-07-01,0,0,0,0,29
2017-08-01,0,0,0,0,32
2017-09-01,1,0,0,0,35
2017-10-01,1,0,0,0,32
2017-11-01,1,0,0,1,32
2017-12-01,1,0,0,1,31
2018-01-01,0,0,0,1,33
2018-02-01,0,0,0,1,29
2018-03-01,1,0,0,1,36
2018-04-01,1,0,0,0,33
2018-05-01,1,0,0,1,36
2018-06-01,0,0,0,1,31
2018-07-01,0,0,0,0,33
2018-08-01,1,0,0,0,35
2018-09-01,1,0,0,0,40
2018-10-01,1,0,0,0,40
2018-11-01,1,0,0,1,35
2018-12-01,1,0,0,6,35
2019-01-01,0,0,0,2,33
2019-02-01,1,0,0,1,34
2019-03-01,1,0,0,0,39
2019-04-01,1,0,0,1,38
2019-05-01,1,0,0,1,45
2019-06-01,1,0,0,1,43
2019-07-01,0,0,0,0,48
2019-08-01,0,0,0,1,62
2019-09-01,1,0,0,1,65
2019-10-01,1,0,0,1,64
2019-11-01,1,0,0,1,57
2019-12-01,1,0,0,1,57
2020-01-01,1,0,0,1,52
2020-02-01,1,0,0,1,53
2020-03-01,0,0,0,0,51
2020-04-01,2,0,0,1,58
2020-05-01,1,0,0,0,56
2020-06-01,1,0,0,0,62
2020-07-01,0,0,0,0,65
2020-08-01,0,0,0,0,58
2020-09-01,1,0,0,0,70
2020-10-01,1,0,0,0,67
2020-11-01,1,0,0,0,63
2020-12-01,1,0,0,0,63
2021-01-01,1,0,0,1,58
2021-02-01,1,0,0,1,52
2021-03-01,1,0,0,0,63
2021-04-01,1,0,0,0,61
2021-05-01,1,0,0,0,69
2021-06-01,0,0,0,0,60
2021-07-01,0,0,0,0,65
2021-08-01,1,0,0,0,65
2021-09-01,1,0,0,0,72
2021-10-01,1,0,0,0,78
2021-11-01,1,0,0,0,86
2021-12-01,1,0,0,0,84
2022-01-01,1,0,0,0,78
2022-02-01,2,0,0,0,65
2022-03-01,2,0,0,0,95
2022-04-01,2,0,0,0,91
2022-05-01,1,0,0,0,76
2022-06-01,1,0,0,0,70
2022-07-01,1,0,0,0,54
2022-08-01,1,0,0,0,57
2022-09-01,1,0,0,0,68
2022-10-01,2,0,0,0,77
2022-11-01,3,0,0,0,74
2022-12-01,1,0,0,1,79
2023-01-01,1,0,0,1,58
2023-02-01,2,0,0,0,71
2023-03-01,2,0,0,0,81
2023-04-01,3,0,0,0,89
2023-05-01,1,0,0,0,79
2023-06-01,1,0,0,0,72
2023-07-01,1,0,0,0,57
2023-08-01,1,0,0,0,61
2023-09-01,1,0,0,0,65
2023-10-01,2,0,0,0,78
2023-11-01,3,0,0,0,76
2023-12-01,2,0,0,0,72
2024-01-01,2,0,0,1,56
2024-02-01,2,0,0,1,47
2024-03-01,3,0,0,0,76
2024-04-01,2,0,0,0,78
2024-05-01,1,0,0,0,81
2024-06-01,1,0,0,0,67
2024-07-01,1,0,0,0,57
2024-08-01,1,0,0,0,64
2024-09-01,1,0,0,0,78
2024-10-01,3,0,0,0,100
2024-11-01,4,0,0,0,89
2024-12-01,3,0,0,0,90
2025-01-01,1,0,0,0,61
2025-02-01,5,0,0,0,65
2025-03-01,3,0,0,0,76
2025-04-01,2,0,0,0,71
2025-05-01,1,0,0,0,66
2025-06-01,1,0,0,0,63
2025-07-01,1,0,0,0,67
2025-08-01,2,0,0,0,69
2025-09-01,1,0,0,0,91
2025-10-01,2,0,0,0,91
2025-11-01,3,0,0,0,92
