date,Núi Cấm,Lễ hội miếu Bà Chúa Xứ,Chùa Tây An,Lăng Thoại Ngọc Hầu,Núi Ba Thê
2011-02-01,0,0,0,0,0
2011-03-01,4,0,0,0,0
2011-04-01,7,0,0,0,0
2011-05-01,5,0,0,0,0
2011-06-01,6,0,0,0,0
2011-07-01,5,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,4,0,0,0,0
2011-12-01,3,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,7,0,0,0,0
2012-03-01,5,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,100,0,0,0,0
2012-06-01,6,0,0,0,0
2012-07-01,7,0,0,0,0
2012-08-01,6,0,0,0,0
2012-09-01,6,0,0,0,0
2012-10-01,4,0,0,0,0
2012-11-01,5,0,0,0,0
2012-12-01,4,0,0,0,0
2013-01-01,5,0,0,0,0
2013-02-01,15,0,0,0,0
2013-03-01,7,0,0,0,0
2013-04-01,9,0,0,0,0
2013-05-01,9,0,0,0,0
2013-06-01,6,0,0,0,0
2013-07-01,7,0,0,0,0
2013-08-01,7,0,0,0,0
2013-09-01,7,0,0,0,0
2013-10-01,6,0,0,0,0
2013-11-01,5,0,0,0,0
2013-12-01,4,0,3,0,0
2014-01-01,4,0,0,0,0
2014-02-01,11,0,2,0,0
2014-03-01,6,0,2,0,0
2014-04-01,6,0,1,2,0
2014-05-01,6,0,0,0,0
2014-06-01,7,0,0,0,0
2014-07-01,5,0,0,0,0
2014-08-01,6,2,0,0,0
2014-09-01,7,0,0,0,0
2014-10-01,6,0,0,0,0
2014-11-01,5,0,0,0,0
2014-12-01,4,0,0,0,0
2015-01-01,8,0,2,0,0
2015-02-01,15,0,3,0,0
2015-03-01,14,0,2,2,0
2015-04-01,11,0,0,0,0
2015-05-01,9,0,1,0,0
2015-06-01,7,0,1,0,0
2015-07-01,7,0,0,0,0
2015-08-01,7,0,0,0,0
2015-09-01,10,0,1,0,0
2015-10-01,8,0,0,0,0
2015-11-01,8,1,2,0,0
2015-12-01,9,0,2,0,0
2016-01-01,7,0,0,0,0
2016-02-01,22,2,3,0,0
2016-03-01,12,0,2,0,0
2016-04-01,11,0,2,0,0
2016-05-01,12,0,1,0,0
2016-06-01,10,0,1,0,0
2016-07-01,8,0,1,0,0
2016-08-01,10,0,0,0,0
2016-09-01,9,0,1,0,0
2016-10-01,10,0,1,0,0
2016-11-01,10,0,2,0,0
2016-12-01,10,0,0,0,0
2017-01-01,15,0,1,0,0
2017-02-01,34,0,3,0,0
2017-03-01,19,0,1,0,0
2017-04-01,16,0,3,0,0
2017-05-01,16,0,1,1,0
2017-06-01,13,0,2,0,0
2017-07-01,14,0,2,0,0
2017-08-01,14,0,2,0,0
2017-09-01,17,0,0,0,0
2017-10-01,13,0,2,0,0
2017-11-01,11,0,2,0,0
2017-12-01,13,0,2,0,0
2018-01-01,16,0,0,0,0
2018-02-01,33,0,3,0,0
2018-03-01,28,0,3,0,0
2018-04-01,23,0,2,0,0
2018-05-01,19,0,2,0,0
2018-06-01,20,0,1,0,0
2018-07-01,16,0,1,0,0
2018-08-01,17,0,1,0,0
2018-09-01,18,0,2,0,0
2018-10-01,16,0,1,0,0
2018-11-01,15,0,2,0,0
2018-12-01,13,0,2,0,0
2019-01-01,13,0,1,0,0
2019-02-01,38,0,5,0,0
2019-03-01,22,0,3,0,1
2019-04-01,23,0,2,0,1
2019-05-01,73,0,2,1,0
2019-06-01,28,0,1,0,0
2019-07-01,20,0,2,1,0
2019-08-01,20,0,2,2,0
2019-09-01,20,0,2,3,1
2019-10-01,14,0,2,0,0
2019-11-01,14,0,2,1,0
2019-12-01,16,0,2,0,0
2020-01-01,34,0,3,0,0
2020-02-01,27,0,2,0,0
2020-03-01,17,0,2,0,0
2020-04-01,16,0,2,0,0
2020-05-01,27,0,2,1,0
2020-06-01,24,0,2,0,0
2020-07-01,23,0,2,1,0
2020-08-01,18,0,2,0,0
2020-09-01,23,1,3,0,1
2020-10-01,17,0,2,0,0
2020-11-01,21,0,2,0,0
2020-12-01,21,0,3,0,1
2021-01-01,19,0,3,0,0
2021-02-01,35,0,5,0,0
2021-03-01,39,0,3,1,0
2021-04-01,30,0,3,0,1
2021-05-01,19,0,2,0,0
2021-06-01,10,0,1,0,0
2021-07-01,17,0,2,0,0
2021-08-01,17,0,1,0,0
2021-09-01,15,0,1,0,0
2021-10-01,13,0,2,0,0
2021-11-01,16,0,2,0,1
2021-12-01,19,0,3,0,0
2022-01-01,25,0,3,0,0
2022-02-01,54,0,5,0,1
2022-03-01,34,0,4,1,1
2022-04-01,45,0,3,1,1
2022-05-01,29,1,4,1,1
2022-06-01,32,0,3,0,0
2022-07-01,30,0,3,2,1
2022-08-01,35,0,3,0,0
2022-09-01,29,0,5,1,0
2022-10-01,28,0,2,1,0
2022-11-01,28,1,3,1,1
2022-12-01,26,1,4,1,1
2023-01-01,44,1,4,0,1
2023-02-01,52,0,5,1,0
2023-03-01,40,0,4,1,0
2023-04-01,39,0,4,1,0
2023-05-01,30,0,3,0,1
2023-06-01,32,0,3,1,1
2023-07-01,33,0,3,0,0
2023-08-01,51,0,2,0,3
2023-09-01,30,0,3,1,1
2023-10-01,28,1,3,2,1
2023-11-01,28,1,3,1,0
2023-12-01,29,1,3,2,1
2024-01-01,27,0,3,0,1
2024-02-01,51,0,5,0,2
2024-03-01,38,2,6,1,0
2024-04-01,36,1,5,0,1
2024-05-01,23,0,4,0,0
2024-06-01,24,0,3,0,1
2024-07-01,25,0,2,0,0
2024-08-01,28,0,3,0,0
2024-09-01,24,0,4,1,0
2024-10-01,23,0,4,1,0
2024-11-01,26,0,3,2,0
2024-12-01,26,1,3,0,0
2025-01-01,23,0,4,1,0
2025-02-01,44,0,6,2,0
2025-03-01,30,1,3,2,0
2025-04-01,27,0,4,1,1
2025-05-01,22,0,4,1,0
2025-06-01,20,0,3,0,0
2025-07-01,25,0,5,0,0
2025-08-01,29,0,3,0,0
2025-09-01,21,0,4,1,2
2025-10-01,26,0,6,0,0
2025-11-01,27,0,5,1,0
