province,temp_avg,rainfall,latitude,longitude,date
An Giang,25.44193548387097,21.5,10.3188672,105.0432488,2011-01-01
An Giang,26.939285714285713,2.2,10.3188672,105.0432488,2011-02-01
An Giang,26.674193548387095,166.1,10.3188672,105.0432488,2011-03-01
An Giang,27.276666666666664,124.6,10.3188672,105.0432488,2011-04-01
An Giang,27.493548387096773,184.1,10.3188672,105.0432488,2011-05-01
An Giang,27.05,205.0,10.3188672,105.0432488,2011-06-01
An Giang,26.938709677419357,182.5,10.3188672,105.0432488,2011-07-01
An Giang,27.07741935483871,213.29999999999998,10.3188672,105.0432488,2011-08-01
An Giang,26.436666666666667,361.8,10.3188672,105.0432488,2011-09-01
An Giang,26.719354838709677,194.7,10.3188672,105.0432488,2011-10-01
An Giang,26.78666666666667,135.9,10.3188672,105.0432488,2011-11-01
An Giang,25.91290322580645,31.8,10.3188672,105.0432488,2011-12-01
An Giang,26.238709677419354,84.8,10.3188672,105.0432488,2012-01-01
An Giang,26.882758620689657,54.0,10.3188672,105.0432488,2012-02-01
An Giang,28.451612903225808,143.8,10.3188672,105.0432488,2012-03-01
An Giang,27.793333333333333,141.7,10.3188672,105.0432488,2012-04-01
An Giang,27.293548387096774,252.5,10.3188672,105.0432488,2012-05-01
An Giang,27.290000000000003,172.6,10.3188672,105.0432488,2012-06-01
An Giang,26.848387096774193,182.3,10.3188672,105.0432488,2012-07-01
An Giang,27.067741935483873,165.0,10.3188672,105.0432488,2012-08-01
An Giang,26.113333333333333,332.6,10.3188672,105.0432488,2012-09-01
An Giang,26.68064516129032,236.9,10.3188672,105.0432488,2012-10-01
An Giang,26.529999999999998,170.3,10.3188672,105.0432488,2012-11-01
An Giang,27.009677419354837,31.0,10.3188672,105.0432488,2012-12-01
An Giang,25.932258064516127,39.5,10.3188672,105.0432488,2013-01-01
An Giang,28.107142857142858,15.9,10.3188672,105.0432488,2013-02-01
An Giang,29.483870967741936,12.7,10.3188672,105.0432488,2013-03-01
An Giang,28.15666666666667,170.4,10.3188672,105.0432488,2013-04-01
An Giang,27.864516129032257,244.8,10.3188672,105.0432488,2013-05-01
An Giang,27.006666666666668,320.8,10.3188672,105.0432488,2013-06-01
An Giang,26.480645161290322,270.8,10.3188672,105.0432488,2013-07-01
An Giang,26.770967741935483,186.4,10.3188672,105.0432488,2013-08-01
An Giang,26.753333333333334,263.8,10.3188672,105.0432488,2013-09-01
An Giang,26.26774193548387,263.8,10.3188672,105.0432488,2013-10-01
An Giang,26.240000000000002,155.70000000000002,10.3188672,105.0432488,2013-11-01
An Giang,24.961290322580645,50.5,10.3188672,105.0432488,2013-12-01
An Giang,24.700000000000003,9.5,10.3188672,105.0432488,2014-01-01
An Giang,26.342857142857145,3.2,10.3188672,105.0432488,2014-02-01
An Giang,28.62258064516129,24.2,10.3188672,105.0432488,2014-03-01
An Giang,28.34,160.1,10.3188672,105.0432488,2014-04-01
An Giang,28.55483870967742,114.7,10.3188672,105.0432488,2014-05-01
An Giang,27.566666666666666,221.0,10.3188672,105.0432488,2014-06-01
An Giang,26.961290322580645,244.7,10.3188672,105.0432488,2014-07-01
An Giang,26.96451612903226,212.2,10.3188672,105.0432488,2014-08-01
An Giang,26.803333333333335,191.0,10.3188672,105.0432488,2014-09-01
An Giang,26.44193548387097,278.9,10.3188672,105.0432488,2014-10-01
An Giang,26.813333333333333,145.0,10.3188672,105.0432488,2014-11-01
An Giang,26.05806451612903,81.5,10.3188672,105.0432488,2014-12-01
An Giang,25.580645161290324,8.5,10.3188672,105.0432488,2015-01-01
An Giang,26.342857142857145,4.0,10.3188672,105.0432488,2015-02-01
An Giang,28.98709677419355,2.1,10.3188672,105.0432488,2015-03-01
An Giang,29.146666666666665,70.7,10.3188672,105.0432488,2015-04-01
An Giang,29.4741935483871,62.699999999999996,10.3188672,105.0432488,2015-05-01
An Giang,28.046666666666667,156.7,10.3188672,105.0432488,2015-06-01
An Giang,27.52258064516129,148.20000000000002,10.3188672,105.0432488,2015-07-01
An Giang,27.36774193548387,142.6,10.3188672,105.0432488,2015-08-01
An Giang,27.053333333333335,250.5,10.3188672,105.0432488,2015-09-01
An Giang,26.93548387096774,241.6,10.3188672,105.0432488,2015-10-01
An Giang,26.85,179.6,10.3188672,105.0432488,2015-11-01
An Giang,26.770967741935483,40.0,10.3188672,105.0432488,2015-12-01
